,Industry,TXT,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",27.62,9.21,Valuation,0.33345401882693704
Price/Sales (TTM),11.1,0.47,Valuation,0.04234234234234234
Price/Book (MRQ),8.42,1.12,Valuation,0.13301662707838482
"PEG Ratio (TTM, GAAP)",0.57,,Valuation,
Gross Profit Margin (TTM),0.22,0.15660000000000002,Profitability,0.7118181818181819
Operating Profit Margin (TTM),-0.37560000000000004,0.0649,Profitability,-0.17279020234291798
Net Profit Margin (TTM),-0.4008,0.0516,Profitability,-0.1287425149700599
Annual Dividend Yield,0.0174,0.0029,Dividend,0.16666666666666666
Dividend Change %,0.0746,0.0,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.094,0.0,Dividend,0.0
EPS Growth (MRQ),-4.3931000000000004,-0.7478,Gowth rates,0.17022148369033255
EPS Growth (TTM),-0.4832,-0.3875,Gowth rates,0.8019453642384106
Revenue Growth (MRQ),0.1291,-0.3118,Gowth rates,-2.415182029434547
Revenue Growth (TTM),0.15109999999999998,-0.0353,Gowth rates,-0.23362011912640637
Return On Equity (TTM),0.5414,0.1274,Effectiveness,0.23531584780199485
Return On Assets (TTM),0.0535,0.0451,Effectiveness,0.8429906542056075
Return On Investment (TTM),0.0666,0.061,Effectiveness,0.9159159159159158
Revenue Per Employee (TTM),402070.0,379943.0,Effectiveness,0.9449672942522447
Total Debt/Total Capital (MRQ),0.687,0.47630000000000006,Financial strength,0.6933042212518196
Change in Debt/Total Capital Quarter over Quarter,0.0013000000000000002,0.0018,Financial strength,1.3846153846153844
Quick Ratio (MRQ),1.14,0.95,Financial strength,0.8333333333333334
Interest Coverage (MRQ),8.72,3.18,Financial strength,0.3646788990825688
