,TXT
% Above Low,0.34750000000000003
% Held by Institutions,0.8304
52-Wk Range,['20.26 - 54.24']
Annual Dividend $,0.08
Annual Dividend %,0.0031
Ask,27.6
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,25.68
Bid Size,100.0
Closing Price,27.3
Day Change $,1.62
Day Change %,0.06309999999999999
Day High,27.38
Day Low,26.0
Dividend Pay Date,2020-07-01 00:00:00
"EPS (TTM, GAAP)",2.97
Ex-dividend,2020-06-11 00:00:00
Ex-dividend Date,06/11/20
Historical Volatility,0.5910000000000001
Last (size),2.0
Last (time),6:30p ET 05/08/20
Market Cap,6.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",9.21
Prev Close,25.68
Short Interest,0.0176
Today's Open,26.24
Volume,1335244.0
Volume 10-day Avg,1954538.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-15 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.7420289855072464
Growth 1yr High Est,-0.32266666666666666
Growth 1yr Consensus Est,-0.5323478260869565
Growth 2yr Low Est,0.168311349943006
Growth 2yr High Est,-0.11999475065616794
Growth 2yr Consensus Est,0.024158299643419034
Growth 5yr Low Est,0.17777812395109482
Growth 5yr High Est,0.04961040819274304
Growth 5yr Consensus Est,0.11369426607191893
Growth 5yr Actual/Est,0.11208331794884524
Growth 3yr Historic,0.12075644629109128
Price/Earnings (TTM),9.20543
Price/Sales (TTM),0.46699
Price/Book (MRQ),1.12169
Price/Cash Flow (TTM),5.69725
5yr Low,20.26
5yr High,72.87
5yr Avg Return,-0.05575
EPS Growth 5yr,0.10281570000000001
Revenue Growth 5yr,-0.0035998000000000002
Dividend Growth 5yr,0.05922380000000001
Short Int Current Month,3985772.0
Short Int Prev Month,3643224.0
Short Int Pct of Float,0.0175861
Days to Cover,2.39798
Float,226.6152
Shares Outstanding,227.4725
Institutions Holding Shares,594.0
FCF Growth 5yr,0.10605296210637091
"Price/Earnings (TTM, GAAP)",9.21
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.15660000000000002
Operating Profit Margin (TTM),0.0649
Net Profit Margin (TTM),0.0516
Annual Dividend Yield,0.0029
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.7478
EPS Growth (TTM),-0.3875
Revenue Growth (MRQ),-0.3118
Revenue Growth (TTM),-0.0353
Return On Equity (TTM),0.1274
Return On Assets (TTM),0.0451
Return On Investment (TTM),0.061
Revenue Per Employee (TTM),379943.0
Total Debt/Total Capital (MRQ),0.47630000000000006
Change in Debt/Total Capital Quarter over Quarter,0.0018
Quick Ratio (MRQ),0.95
Interest Coverage (MRQ),3.18
newConstructs,3
researchTeam,reduce
marketEdge opinion,avoid
marketEdge,1
cfra,3
theStreet,hold
ford,3
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-09 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2019-01-24 00:00:00
theStreet since,2019-12-10 00:00:00
ford since,2019-08-30 00:00:00
creditSuisse since,2019-04-01 00:00:00
