,ETN
% Below High,0.2224
% Held by Institutions,0.8181999999999999
52-Wk Range,['56.42 - 105.78']
Annual Dividend $,2.92
Annual Dividend %,0.0364
Ask,82.8
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,1.2
Bid,82.25
Bid Size,500.0
Closing Price,82.25
Day Change $,1.99
Day Change %,0.0248
Day High,82.4
Day Low,81.09
Dividend Pay Date,2020-05-29 00:00:00
"EPS (TTM, GAAP)",5.09
Ex-dividend,2020-05-13 00:00:00
Ex-dividend Date,05/13/20
Historical Volatility,0.478
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,32.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",15.76
Prev Close,80.26
Short Interest,0.0159
Today's Open,81.5
Volume,1555139.0
Volume 10-day Avg,2335765.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.4434628975265018
Growth 1yr High Est,-0.23611111111111105
Growth 1yr Consensus Est,-0.33978700431880643
Growth 2yr Low Est,-0.09474732177912393
Growth 2yr High Est,-0.004419191919191878
Growth 2yr Consensus Est,-0.0495832568491579
Growth 5yr Low Est,0.022951608806417112
Growth 5yr High Est,0.05531908626063223
Growth 5yr Consensus Est,0.03913534753352467
Growth 5yr Actual/Est,0.03815801999564561
Growth 3yr Historic,0.052771959223572085
Price/Earnings (TTM),15.76087
Price/Sales (TTM),1.53799
Price/Book (MRQ),2.2537
Price/Cash Flow (TTM),10.73353
5yr Low,46.19
5yr High,105.78
5yr Avg Return,0.05529999999999999
EPS Growth 5yr,0.0691872
Revenue Growth 5yr,-0.0105243
Dividend Growth 5yr,0.0769919
Short Int Current Month,6507619.0
Short Int Prev Month,6191743.0
Short Int Pct of Float,0.0158601
Days to Cover,2.32857
Float,399.0164
Shares Outstanding,400.0
Institutions Holding Shares,1474.0
FCF Growth 5yr,0.09364418923868598
"Price/Earnings (TTM, GAAP)",15.76
"PEG Ratio (TTM, GAAP)",2.71
Gross Profit Margin (TTM),0.3261
Operating Profit Margin (TTM),0.1242
Net Profit Margin (TTM),0.102
Annual Dividend Yield,0.0364
Dividend Change %,0.0758
"Dividend Growth Rate, 3 Years",0.076
EPS Growth (MRQ),-0.0201
EPS Growth (TTM),0.0117
Revenue Growth (MRQ),-0.0857
Revenue Growth (TTM),-0.0364
Return On Equity (TTM),0.1396
Return On Assets (TTM),0.0681
Return On Investment (TTM),0.0816
Revenue Per Employee (TTM),206673.0
Total Debt/Total Capital (MRQ),0.371
Change in Debt/Total Capital Quarter over Quarter,0.0014000000000000002
Quick Ratio (MRQ),1.28
Interest Coverage (MRQ),16.65
newConstructs,3
researchTeam,reduce
cfra,3
theStreet,buy
ford,3
creditSuisse,outperform
marketEdge opinion,avoid
marketEdge,1
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-02 00:00:00
cfra since,2014-02-08 00:00:00
theStreet since,2016-03-07 00:00:00
ford since,2019-07-19 00:00:00
creditSuisse since,2018-10-11 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
