,ETN
Price/Earnings (TTM),15.76087
Price/Sales (TTM),1.53799
Price/Book (MRQ),2.2537
Price/Cash Flow (TTM),10.73353
5yr Low,46.19
5yr High,105.78
5yr Avg Return,0.05529999999999999
EPS Growth 5yr,0.0691872
Revenue Growth 5yr,-0.0105243
Dividend Growth 5yr,0.0769919
Short Int Current Month,6507619.0
Short Int Prev Month,6191743.0
Short Int Pct of Float,0.0158601
Days to Cover,2.32857
Float,399.0164
Shares Outstanding,400.0
Institutions Holding Shares,1474.0
% Held by Institutions,0.8182429999999999
FCF Growth 5yr,0.09364418923868598
