,APH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",23.75,31.71,Valuation,0.748975086723431
Price/Sales (TTM),3.18,3.09,Valuation,1.0291262135922332
Price/Book (MRQ),5.89,4.45,Valuation,1.3235955056179773
"PEG Ratio (TTM, GAAP)",8.19,3.51,Valuation,2.3333333333333335
Gross Profit Margin (TTM),0.3134,0.3607,Profitability,0.8688660937066814
Operating Profit Margin (TTM),0.19010000000000002,0.0696,Profitability,2.73132183908046
Net Profit Margin (TTM),0.1399,0.050499999999999996,Profitability,2.7702970297029705
Annual Dividend Yield,0.0115,0.010700000000000001,Dividend,1.0747663551401867
Dividend Change %,0.0909,0.0703,Dividend,1.2930298719772404
"Dividend Growth Rate, 3 Years",0.1829,0.0859,Dividend,2.129220023282887
EPS Growth (MRQ),-0.2361,-0.5093,Gowth rates,0.46357745925780486
EPS Growth (TTM),-0.1177,-0.0904,Gowth rates,1.301991150442478
Revenue Growth (MRQ),-0.1344,-0.0016,Gowth rates,83.99999999999999
Revenue Growth (TTM),-0.0199,0.0201,Gowth rates,-0.9900497512437811
Return On Equity (TTM),0.2655,-0.009000000000000001,Effectiveness,-29.499999999999996
Return On Assets (TTM),0.10210000000000001,0.0556,Effectiveness,1.836330935251799
Return On Investment (TTM),0.12390000000000001,0.0645,Effectiveness,1.9209302325581397
Revenue Per Employee (TTM),109850.0,334898.0,Effectiveness,0.32801031955998544
Total Debt/Total Capital (MRQ),0.5339,0.3699,Financial strength,1.4433630711002974
Change in Debt/Total Capital Quarter over Quarter,0.0021,0.0004,Financial strength,5.249999999999999
Quick Ratio (MRQ),1.93,1.96,Financial strength,0.9846938775510204
Interest Coverage (MRQ),11.0,16.32,Financial strength,0.6740196078431372
