,APH
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.22969187675070024
Growth 1yr High Est,-0.13279132791327908
Growth 1yr Consensus Est,-0.18124160233198966
Growth 2yr Low Est,-0.005755029284440993
Growth 2yr High Est,0.10547933604336035
Growth 2yr Consensus Est,0.04986215337945968
Growth 5yr Low Est,0.02792805111589619
Growth 5yr High Est,0.08687738514326823
Growth 5yr Consensus Est,0.05740271812958221
Growth 5yr Actual/Est,0.03925310563413495
Growth 3yr Historic,0.031043643112608627
