,APH
% Below High,0.18760000000000002
% Held by Institutions,0.9727
52-Wk Range,['63.05 - 110.24']
Annual Dividend $,1.0
Annual Dividend %,0.0115
Ask,105.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,60.1
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,89.56
Day Change $,2.32
Day Change %,0.026600000000000002
Day High,89.57
Day Low,88.43
Dividend Pay Date,2020-07-08 00:00:00
"EPS (TTM, GAAP)",3.67
Ex-dividend,2020-06-15 00:00:00
Ex-dividend Date,06/15/20
Historical Volatility,0.38799999999999996
Last (size),200.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,26.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",23.75
Prev Close,87.24
Short Interest,0.011200000000000002
Today's Open,88.78
Volume,1073740.0
Volume 10-day Avg,1425100.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.22969187675070024
Growth 1yr High Est,-0.13279132791327908
Growth 1yr Consensus Est,-0.18124160233198966
Growth 2yr Low Est,-0.005755029284440993
Growth 2yr High Est,0.10547933604336035
Growth 2yr Consensus Est,0.04986215337945968
Growth 5yr Low Est,0.02792805111589619
Growth 5yr High Est,0.08687738514326823
Growth 5yr Consensus Est,0.05740271812958221
Growth 5yr Actual/Est,0.03925310563413495
Growth 3yr Historic,0.031043643112608627
Price/Earnings (TTM),23.74776
Price/Sales (TTM),3.17503
Price/Book (MRQ),5.88589
Price/Cash Flow (TTM),17.97572
5yr Low,44.5
5yr High,110.24
5yr Avg Return,0.10641666666666666
EPS Growth 5yr,0.11132170000000001
Revenue Growth 5yr,0.0900182
Dividend Growth 5yr,0.1636215
Short Int Current Month,3306427.0
Short Int Prev Month,3068389.0
Short Int Pct of Float,0.0112354
Days to Cover,1.40593
Float,294.2401
Shares Outstanding,295.8452
Institutions Holding Shares,959.0
FCF Growth 5yr,0.0891993004710639
"Price/Earnings (TTM, GAAP)",23.75
"PEG Ratio (TTM, GAAP)",8.19
Gross Profit Margin (TTM),0.3134
Operating Profit Margin (TTM),0.19010000000000002
Net Profit Margin (TTM),0.1399
Annual Dividend Yield,0.0115
Dividend Change %,0.0909
"Dividend Growth Rate, 3 Years",0.1829
EPS Growth (MRQ),-0.2361
EPS Growth (TTM),-0.1177
Revenue Growth (MRQ),-0.1344
Revenue Growth (TTM),-0.0199
Return On Equity (TTM),0.2655
Return On Assets (TTM),0.10210000000000001
Return On Investment (TTM),0.12390000000000001
Revenue Per Employee (TTM),109850.0
Total Debt/Total Capital (MRQ),0.5339
Change in Debt/Total Capital Quarter over Quarter,0.0021
Quick Ratio (MRQ),1.93
Interest Coverage (MRQ),11.0
newConstructs,3
researchTeam,hold
theStreet,hold
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
theStreet since,2020-04-03 00:00:00
cfra since,2017-11-06 00:00:00
ford since,2018-12-14 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
