,CVX
% Below High,0.2483
% Held by Institutions,0.6631
52-Wk Range,['51.60 - 127.00']
Annual Dividend $,5.16
Annual Dividend %,0.0557
Ask,95.98
Ask Size,300.0
B/A Ratio,3.0
B/A Size,900x300
Beta,1.3
Bid,95.56
Bid Size,900.0
Change Since Close,0.51| |(0.53%)
Closing Price,95.47
Day Change $,2.83
Day Change %,0.0305
Day High,95.56
Day Low,94.07
Dividend Pay Date,2020-06-10 00:00:00
"EPS (TTM, GAAP)",2.02
Ex-dividend,2020-05-18 00:00:00
Ex-dividend Date,05/18/20
Historical Volatility,0.547
Last (size),2.0
Last (time),6:30p ET 05/08/20
Last Trade,95.98
Market Cap,178.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",45.91
Prev Close,92.64
Short Interest,0.0108
Today's Open,95.0
Volume,8602865.0
Volume 10-day Avg,11267979.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-31 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,-1.3561872909698995
Growth 1yr High Est,-0.6993957703927492
Growth 1yr Consensus Est,-1.0277915306813243
Growth 2yr Low Est,-0.6147133637948089
Growth 2yr High Est,0.3111061349041279
Growth 2yr Consensus Est,-0.1518036144453405
Growth 5yr Low Est,-0.4708289456264118
Growth 5yr High Est,0.1294719911706532
Growth 5yr Consensus Est,-0.1706784772278793
Growth 5yr Actual/Est,-1.5652455784848238
Growth 3yr Historic,0.22549235281793417
Price/Earnings (TTM),45.90843
Price/Sales (TTM),1.28142
Price/Book (MRQ),1.20167
Price/Cash Flow (TTM),5.2097
5yr Low,51.6
5yr High,133.88
5yr Avg Return,-0.0036000000000000003
EPS Growth 5yr,-0.31360140000000003
Revenue Growth 5yr,-0.0685877
Dividend Growth 5yr,0.024861
Short Int Current Month,20063991.0
Short Int Prev Month,16626618.0
Short Int Pct of Float,0.010751900000000002
Days to Cover,1.39137
Float,1866.124
Shares Outstanding,1866.979
Institutions Holding Shares,2997.0
FCF Growth 5yr,-0.30585713191917635
"Price/Earnings (TTM, GAAP)",45.91
"PEG Ratio (TTM, GAAP)",8.35
Gross Profit Margin (TTM),0.4376
Operating Profit Margin (TTM),0.0193
Net Profit Margin (TTM),0.0281
Annual Dividend Yield,0.055700000000000006
Dividend Change %,0.0625
"Dividend Growth Rate, 3 Years",0.0353
EPS Growth (MRQ),1.5127000000000002
EPS Growth (TTM),-0.7206999999999999
Revenue Growth (MRQ),-0.1567
Revenue Growth (TTM),-0.14150000000000001
Return On Equity (TTM),0.0259
Return On Assets (TTM),0.015300000000000001
Return On Investment (TTM),0.0175
Revenue Per Employee (TTM),2800270.0
Total Debt/Total Capital (MRQ),0.1825
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),0.78
Interest Coverage (MRQ),
newConstructs,4
researchTeam,hold
cfra,3
theStreet,hold
creditSuisse,outperform
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
cfra since,2020-05-01 00:00:00
theStreet since,2020-02-28 00:00:00
creditSuisse since,2019-05-10 00:00:00
ford since,2019-05-17 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
