,CVX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",45.91,-35.51,Valuation,-1.2928752464094622
Price/Sales (TTM),1.28,3.31,Valuation,0.3867069486404834
Price/Book (MRQ),1.2,2.33,Valuation,0.5150214592274678
"PEG Ratio (TTM, GAAP)",8.35,0.32,Valuation,26.09375
Gross Profit Margin (TTM),0.4376,0.3982,Profitability,1.0989452536413862
Operating Profit Margin (TTM),0.0193,-0.0002,Profitability,-96.5
Net Profit Margin (TTM),0.0281,-0.0029,Profitability,-9.689655172413794
Annual Dividend Yield,0.055700000000000006,0.0675,Dividend,0.8251851851851852
Dividend Change %,0.0625,0.1449,Dividend,0.4313319530710835
"Dividend Growth Rate, 3 Years",0.0353,0.0891,Dividend,0.3961840628507295
EPS Growth (MRQ),1.5127000000000002,-2.7653,Gowth rates,-0.5470292554153258
EPS Growth (TTM),-0.7206999999999999,-1.0931,Gowth rates,0.6593175372792973
Revenue Growth (MRQ),-0.1567,0.0496,Gowth rates,-3.1592741935483875
Revenue Growth (TTM),-0.14150000000000001,-0.0147,Gowth rates,9.625850340136056
Return On Equity (TTM),0.0259,0.053899999999999997,Effectiveness,0.4805194805194805
Return On Assets (TTM),0.015300000000000001,0.0173,Effectiveness,0.8843930635838151
Return On Investment (TTM),0.0175,0.0278,Effectiveness,0.6294964028776979
Revenue Per Employee (TTM),2800270.0,3759409.0,Effectiveness,0.7448697388339497
Total Debt/Total Capital (MRQ),0.1825,0.37229999999999996,Financial strength,0.4901960784313726
Change in Debt/Total Capital Quarter over Quarter,0.0006,0.0016,Financial strength,0.37499999999999994
Quick Ratio (MRQ),0.78,0.78,Financial strength,1.0
Interest Coverage (MRQ),,3.59,Financial strength,
