,IFF,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",32.6,38.27,Valuation,0.8518421740266527
Price/Sales (TTM),2.71,3.08,Valuation,0.8798701298701298
Price/Book (MRQ),2.24,4.22,Valuation,0.5308056872037915
"PEG Ratio (TTM, GAAP)",,0.32,Valuation,
Gross Profit Margin (TTM),0.41100000000000003,0.3542,Profitability,1.1603613777526822
Operating Profit Margin (TTM),0.1294,0.09910000000000001,Profitability,1.305751765893037
Net Profit Margin (TTM),0.0895,0.0683,Profitability,1.3103953147877012
Annual Dividend Yield,0.023,0.0256,Dividend,0.8984374999999999
Dividend Change %,0.05,0.09,Dividend,0.5555555555555556
"Dividend Growth Rate, 3 Years",0.0821,0.054900000000000004,Dividend,1.4954462659380692
EPS Growth (MRQ),-0.3851,-0.07110000000000001,Gowth rates,5.416315049226441
EPS Growth (TTM),-0.09179999999999999,-1.1804000000000001,Gowth rates,0.07777024737377158
Revenue Growth (MRQ),0.013000000000000001,0.0044,Gowth rates,2.9545454545454546
Revenue Growth (TTM),0.2923,0.09369999999999999,Gowth rates,3.1195304162219855
Return On Equity (TTM),0.0739,0.14550000000000002,Effectiveness,0.5079037800687284
Return On Assets (TTM),0.0352,0.0393,Effectiveness,0.8956743002544529
Return On Investment (TTM),0.0395,0.057800000000000004,Effectiveness,0.6833910034602075
Revenue Per Employee (TTM),377947.0,547214.0,Effectiveness,0.6906749461819325
Total Debt/Total Capital (MRQ),0.4092,0.4595,Financial strength,0.8905331882480957
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001,0.0003,Financial strength,-2.333333333333334
Quick Ratio (MRQ),1.17,1.14,Financial strength,1.0263157894736843
Interest Coverage (MRQ),4.0,11.97,Financial strength,0.3341687552213868
