,IFF
% Below High,0.1208
% Held by Institutions,1.0332
52-Wk Range,['92.14 - 152.95']
Annual Dividend $,3.0
Annual Dividend %,0.023
Ask,139.66
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.1
Bid,123.0
Bid Size,100.0
Closing Price,134.47
Day Change $,4.19
Day Change %,0.0322
Day High,135.0
Day Low,131.43
Dividend Pay Date,2020-07-06 00:00:00
"EPS (TTM, GAAP)",4.0
Ex-dividend,2020-06-24 00:00:00
Ex-dividend Date,06/24/20
Historical Volatility,0.45
Last (size),771.0
Last (time),6:30p ET 05/08/20
Market Cap,14.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",32.6
Prev Close,130.28
Short Interest,0.139
Today's Open,133.13
Volume,506129.0
Volume 10-day Avg,758731.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-05-11 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.102439024390244
Growth 1yr High Est,0.022471910112359605
Growth 1yr Consensus Est,-0.039983557138942194
Growth 2yr Low Est,0.01037469070342878
Growth 2yr High Est,0.07481523292117187
Growth 2yr Consensus Est,0.042594961812300325
Growth 5yr Low Est,0.02550015041684142
Growth 5yr High Est,0.054469117761217684
Growth 5yr Consensus Est,0.03998463408902955
Growth 5yr Actual/Est,0.03306529223172386
Growth 3yr Historic,0.01286328549283447
Price/Earnings (TTM),32.60472
Price/Sales (TTM),2.707
Price/Book (MRQ),2.23767
Price/Cash Flow (TTM),17.75682
5yr Low,92.14
5yr High,157.4
5yr Avg Return,0.02896666666666666
EPS Growth 5yr,-0.0460165
Revenue Growth 5yr,0.1072447
Dividend Growth 5yr,0.1238302
Short Int Current Month,14795492.0
Short Int Prev Month,15247403.0
Short Int Pct of Float,0.1390038
Days to Cover,13.95928
Float,106.4868
Shares Outstanding,106.8024
Institutions Holding Shares,780.0
FCF Growth 5yr,0.10247463144465199
"Price/Earnings (TTM, GAAP)",32.6
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.41100000000000003
Operating Profit Margin (TTM),0.1294
Net Profit Margin (TTM),0.0895
Annual Dividend Yield,0.023
Dividend Change %,0.05
"Dividend Growth Rate, 3 Years",0.0821
EPS Growth (MRQ),-0.3851
EPS Growth (TTM),-0.09179999999999999
Revenue Growth (MRQ),0.013000000000000001
Revenue Growth (TTM),0.2923
Return On Equity (TTM),0.0739
Return On Assets (TTM),0.0352
Return On Investment (TTM),0.0395
Revenue Per Employee (TTM),377947.0
Total Debt/Total Capital (MRQ),0.4092
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),1.17
Interest Coverage (MRQ),4.0
newConstructs,3
researchTeam,hold
theStreet,hold
cfra,4
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
theStreet since,2020-03-12 00:00:00
cfra since,2019-08-06 00:00:00
ford since,2019-02-22 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
