,DISCK
% Above Low,0.2541
% Held by Institutions,
52-Wk Range,['15.43 - 31.20']
Annual Dividend $,
Annual Dividend %,
Ask,20.0
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,
Bid,18.51
Bid Size,200.0
Closing Price,19.35
Day Change $,0.48
Day Change %,0.0254
Day High,19.67
Day Low,19.11
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.436
Last (size),1.0
Last (time),4:00p ET 05/08/20
Market Cap,9.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",--x
Prev Close,18.87
Short Interest,
Today's Open,19.48
Volume,2305885.0
Volume 10-day Avg,2405769.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.4566473988439307
Growth 1yr High Est,-0.01897018970189701
Growth 1yr Consensus Est,-0.23780879427291385
Growth 2yr Low Est,-0.04481306112409306
Growth 2yr High Est,0.10239335818772544
Growth 2yr Consensus Est,0.02879014853181619
Growth 5yr Low Est,0.17955347996149987
Growth 5yr High Est,0.2203141768089028
Growth 5yr Consensus Est,0.19993382838520135
Growth 5yr Actual/Est,0.1935673430509744
Growth 3yr Historic,0.21483537041656275
5yr Low,14.99
5yr High,32.78
5yr Avg Return,-0.03595000000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.1220805
Dividend Growth 5yr,
FCF Growth 5yr,0.2294696810210352
"Price/Earnings (TTM, GAAP)",
Price/Sales (TTM),
Price/Book (MRQ),
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),
EPS Growth (TTM),
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),
Return On Assets (TTM),
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,reduce
theStreet,hold
marketEdge opinion,neutralfromavoid
marketEdge,1
newConstructs,
creditSuisse,
cfra,
ford,
researchTeam since,2020-05-01 00:00:00
theStreet since,2020-03-19 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
newConstructs since,
creditSuisse since,
cfra since,
ford since,
