,ALLE
% Above Low,0.32180000000000003
% Held by Institutions,0.983
52-Wk Range,['77.37 - 139.24']
Annual Dividend $,1.28
Annual Dividend %,0.0128
Ask,134.27
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.2
Bid,80.95
Bid Size,200.0
Change Since Close,0.00| |(0.00%)
Closing Price,102.27
Day Change $,2.13
Day Change %,0.0213
Day High,103.79
Day Low,101.52
Dividend Pay Date,2020-06-30 00:00:00
"EPS (TTM, GAAP)",3.42
Ex-dividend,2020-06-15 00:00:00
Ex-dividend Date,06/15/20
Historical Volatility,0.4
Last (size),301.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,9.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",29.26
Prev Close,100.14
Short Interest,0.050499999999999996
Today's Open,101.94
Volume,409901.0
Volume 10-day Avg,787105.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.2613168724279836
Growth 1yr High Est,-0.09572301425661911
Growth 1yr Consensus Est,-0.17851994334230137
Growth 2yr Low Est,-0.11533810195215338
Growth 2yr High Est,0.027588943322140846
Growth 2yr Consensus Est,-0.04387457931500627
Growth 5yr Low Est,0.010618534283491382
Growth 5yr High Est,0.08262488101779561
Growth 5yr Consensus Est,0.046621707650643496
Growth 5yr Actual/Est,0.035202202199492105
Growth 3yr Historic,0.055757575757575784
Price/Earnings (TTM),29.26222
Price/Sales (TTM),3.2136
Price/Book (MRQ),15.10673
Price/Cash Flow (TTM),22.83614
5yr Low,52.95
5yr High,139.24
5yr Avg Return,0.1121
EPS Growth 5yr,0.173249
Revenue Growth 5yr,0.061434699999999995
Dividend Growth 5yr,0.27542449999999996
Short Int Current Month,4659271.0
Short Int Prev Month,3855456.0
Short Int Pct of Float,0.0505143
Days to Cover,5.85104
Float,91.90139
Shares Outstanding,92.22023
Institutions Holding Shares,756.0
FCF Growth 5yr,0.16056586207345674
"Price/Earnings (TTM, GAAP)",29.26
"PEG Ratio (TTM, GAAP)",8.22
Gross Profit Margin (TTM),0.4414
Operating Profit Margin (TTM),0.1586
Net Profit Margin (TTM),0.11220000000000001
Annual Dividend Yield,0.0128
Dividend Change %,0.2857
"Dividend Growth Rate, 3 Years",0.3104
EPS Growth (MRQ),-0.995
EPS Growth (TTM),-0.2237
Revenue Growth (MRQ),-0.06230000000000001
Revenue Growth (TTM),0.0361
Return On Equity (TTM),0.5173
Return On Assets (TTM),0.11599999999999999
Return On Investment (TTM),0.1398
Revenue Per Employee (TTM),261246.0
Total Debt/Total Capital (MRQ),0.6999
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),1.42
Interest Coverage (MRQ),9.22
newConstructs,2
researchTeam,reduce
theStreet,buy
cfra,3
ford,3
marketEdge opinion,avoid
marketEdge,1
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-02-20 00:00:00
theStreet since,2016-11-16 00:00:00
cfra since,2020-04-25 00:00:00
ford since,2020-02-07 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2020-03-10 00:00:00
