,ALLE
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.2613168724279836
Growth 1yr High Est,-0.09572301425661911
Growth 1yr Consensus Est,-0.17851994334230137
Growth 2yr Low Est,-0.11533810195215338
Growth 2yr High Est,0.027588943322140846
Growth 2yr Consensus Est,-0.04387457931500627
Growth 5yr Low Est,0.010618534283491382
Growth 5yr High Est,0.08262488101779561
Growth 5yr Consensus Est,0.046621707650643496
Growth 5yr Actual/Est,0.035202202199492105
Growth 3yr Historic,0.055757575757575784
