,XOM
% Above Low,0.5337
% Held by Institutions,0.5457
52-Wk Range,['30.11 - 77.93']
Annual Dividend $,3.48
Annual Dividend %,0.0787
Ask,46.5
Ask Size,1100.0
B/A Ratio,0.09090909090909091
B/A Size,100x1100
Beta,1.4
Bid,46.33
Bid Size,100.0
Closing Price,46.18
Day Change $,1.94
Day Change %,0.043899999999999995
Day High,46.22
Day Low,44.98
Dividend Pay Date,2020-06-10 00:00:00
"EPS (TTM, GAAP)",2.49
Ex-dividend,2020-05-12 00:00:00
Ex-dividend Date,05/12/20
Historical Volatility,0.423
Last (size),28.0
Last (time),6:30p ET 05/08/20
Market Cap,195.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",18.54
Prev Close,44.24
Short Interest,0.013999999999999999
Today's Open,45.31
Volume,19998701.0
Volume 10-day Avg,27911311.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-31 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-1.4912280701754386
Growth 1yr High Est,-0.6511627906976745
Growth 1yr Consensus Est,-1.0711954304365565
Growth 2yr Low Est,-0.9152568922305764
Growth 2yr High Est,0.43367786391042185
Growth 2yr Consensus Est,-0.24078951416007727
Growth 5yr Low Est,-0.4576284461152882
Growth 5yr High Est,0.21683893195521092
Growth 5yr Consensus Est,-0.12039475708003863
Growth 5yr Actual/Est,-2.6349467627172944
Growth 3yr Historic,-0.04541303255856427
Price/Earnings (TTM),18.53539
Price/Sales (TTM),0.78395
Price/Book (MRQ),1.07233
Price/Cash Flow (TTM),6.27761
5yr Low,30.11
5yr High,95.55
5yr Avg Return,-0.08801666666666666
EPS Growth 5yr,-0.1595316
Revenue Growth 5yr,-0.08296900000000001
Dividend Growth 5yr,0.0490256
Short Int Current Month,59279332.0
Short Int Prev Month,65866459.0
Short Int Pct of Float,0.0140322
Days to Cover,1.51734
Float,4224.995
Shares Outstanding,4228.211
Institutions Holding Shares,3128.0
FCF Growth 5yr,0.29201906497801877
"Price/Earnings (TTM, GAAP)",18.54
"PEG Ratio (TTM, GAAP)",1.05
Gross Profit Margin (TTM),0.2884
Operating Profit Margin (TTM),0.032100000000000004
Net Profit Margin (TTM),0.04360000000000001
Annual Dividend Yield,0.07540000000000001
Dividend Change %,0.061900000000000004
"Dividend Growth Rate, 3 Years",0.048
EPS Growth (MRQ),-1.1232
EPS Growth (TTM),-0.42560000000000003
Revenue Growth (MRQ),-0.1252
Revenue Growth (TTM),-0.09609999999999999
Return On Equity (TTM),0.057
Return On Assets (TTM),0.0305
Return On Investment (TTM),0.0383
Revenue Per Employee (TTM),3325381.0
Total Debt/Total Capital (MRQ),0.24
Change in Debt/Total Capital Quarter over Quarter,0.0046
Quick Ratio (MRQ),0.52
Interest Coverage (MRQ),
newConstructs,3
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,2
cfra,2
theStreet,hold
creditSuisse,neutral
ford,3
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-01-20 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-05-01 00:00:00
theStreet since,2020-03-23 00:00:00
creditSuisse since,2017-12-11 00:00:00
ford since,2020-05-01 00:00:00
