,2015,2016,2017,2018,2019,2020,Report
high,88.57,95.55,91.34,89.3,83.49,71.37,
low,66.55,71.55,76.05,64.65,66.31,30.11,
change,-0.1195,0.16460000000000002,-0.0803,-0.1865,0.0361,-0.3425,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash and Short Term Invs,3705.0,3657.0,3177.0,3042.0,3089.0,,Balance Sheet
"Trade Accts Recvble, Gross",13350.0,16108.0,21346.0,19699.0,21134.0,,Balance Sheet
Prov. for Doubtful Accts,-107.0,-75.0,-72.0,-61.0,-34.0,,Balance Sheet
"Trade Accts Recvble, Net",13243.0,16033.0,21274.0,19638.0,21100.0,,Balance Sheet
Other Receivables,6632.0,5361.0,4323.0,5063.0,5866.0,,Balance Sheet
"Total Receivables, Net",19875.0,21394.0,25597.0,24701.0,26966.0,,Balance Sheet
Invent. - Finished Goods,12037.0,10877.0,12871.0,14803.0,14010.0,,Balance Sheet
Invent. - Raw Materials,4208.0,4203.0,4121.0,4155.0,4518.0,,Balance Sheet
Total Inventory,16245.0,15080.0,16992.0,18958.0,18528.0,,Balance Sheet
Restricted Cash - Current,0.0,,,,,,Balance Sheet
Other Current Assets,2798.0,1285.0,1368.0,1272.0,1469.0,,Balance Sheet
"Other Curr. Assets, Total",2798.0,1285.0,1368.0,1272.0,1469.0,,Balance Sheet
Total Current Assets,42623.0,41416.0,47134.0,47973.0,50052.0,,Balance Sheet
Machinery/Equipment,431044.0,437278.0,460213.0,460040.0,469356.0,,Balance Sheet
Other Prop./Plant/Equip.,16293.0,16637.0,16972.0,17150.0,23979.0,,Balance Sheet
Prop./Plant/Equip. - Gross,447337.0,453915.0,477185.0,477190.0,493335.0,,Balance Sheet
Accumulated Depreciation,-195732.0,-209691.0,-224555.0,-230089.0,-233684.0,,Balance Sheet
Prop./Plant/Equip. - Net,251605.0,244224.0,252630.0,247101.0,259651.0,,Balance Sheet
LT Invt. - Affiliate Comp.,20337.0,20810.0,24354.0,26382.0,29291.0,,Balance Sheet
LT Investments - Other,274.0,154.0,174.0,210.0,190.0,,Balance Sheet
Long Term Investments,20611.0,20964.0,24528.0,26592.0,29481.0,,Balance Sheet
Note Rcvble - Long Term,4524.0,4695.0,5520.0,5590.0,5141.0,,Balance Sheet
Other Long Term Assets,17395.0,19015.0,18879.0,18940.0,18272.0,,Balance Sheet
