,Industry,Type,XOM,Ratio to Industry
"Price/Earnings (TTM, GAAP)",-28.1,Valuation,18.54,-0.6597864768683274
Price/Sales (TTM),3.28,Valuation,0.78,0.2378048780487805
Price/Book (MRQ),2.45,Valuation,1.07,0.43673469387755104
"PEG Ratio (TTM, GAAP)",0.22,Valuation,1.05,4.7727272727272725
Gross Profit Margin (TTM),0.397,Profitability,0.2884,0.7264483627204029
Operating Profit Margin (TTM),-0.0118,Profitability,0.032100000000000004,-2.7203389830508478
Net Profit Margin (TTM),-0.0144,Profitability,0.04360000000000001,-3.027777777777778
Annual Dividend Yield,0.0646,Dividend,0.07540000000000001,1.1671826625386998
Dividend Change %,0.1448,Dividend,0.061900000000000004,0.42748618784530384
"Dividend Growth Rate, 3 Years",0.0892,Dividend,0.048,0.5381165919282511
EPS Growth (MRQ),-3.6655,Gowth rates,-1.1232,0.3064247715182103
EPS Growth (TTM),-1.2948,Gowth rates,-0.42560000000000003,0.3286994130367625
Revenue Growth (MRQ),0.0468,Gowth rates,-0.1252,-2.6752136752136755
Revenue Growth (TTM),-0.0148,Gowth rates,-0.09609999999999999,6.493243243243242
Return On Equity (TTM),0.0452,Effectiveness,0.057,1.261061946902655
Return On Assets (TTM),0.015500000000000002,Effectiveness,0.0305,1.9677419354838708
Return On Investment (TTM),0.024900000000000002,Effectiveness,0.0383,1.5381526104417669
Revenue Per Employee (TTM),3747731.0,Effectiveness,3325381.0,0.8873051454333302
Total Debt/Total Capital (MRQ),0.38,Financial strength,0.24,0.631578947368421
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001,Financial strength,0.0046,2.705882352941176
Quick Ratio (MRQ),0.81,Financial strength,0.52,0.6419753086419753
Interest Coverage (MRQ),3.41,Financial strength,,
