,ADM
% Above Low,0.2583
% Held by Institutions,0.7856000000000001
52-Wk Range,['28.92 - 47.20']
Annual Dividend $,1.44
Annual Dividend %,0.0414
Ask,36.46
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.0
Bid,36.24
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,36.39
Day Change $,1.63
Day Change %,0.046900000000000004
Day High,36.49
Day Low,35.25
Dividend Pay Date,2020-06-10 00:00:00
"EPS (TTM, GAAP)",2.76
Ex-dividend,2020-05-19 00:00:00
Ex-dividend Date,05/19/20
Historical Volatility,0.36600000000000005
Last (size),1.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,20.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",12.58
Prev Close,34.76
Short Interest,0.0139
Today's Open,35.4
Volume,2890542.0
Volume 10-day Avg,2908244.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.05284552845528456
Growth 1yr High Est,0.09747292418772568
Growth 1yr Consensus Est,0.02231369786622056
Growth 2yr Low Est,0.0744356048710701
Growth 2yr High Est,0.1572890936728102
Growth 2yr Consensus Est,0.11586234927194014
Growth 5yr Low Est,-0.046715377099440736
Growth 5yr High Est,0.0238029294795055
Growth 5yr Consensus Est,-0.011456223809967617
Growth 5yr Actual/Est,0.11032652502054471
Growth 3yr Historic,0.0479394473838918
Price/Earnings (TTM),12.5834
Price/Sales (TTM),0.30019
Price/Book (MRQ),1.01793
Price/Cash Flow (TTM),7.56921
5yr Low,28.92
5yr High,53.31
5yr Avg Return,-0.03293333333333333
EPS Growth 5yr,-0.0603916
Revenue Growth 5yr,-0.0445466
Dividend Growth 5yr,0.0783788
Short Int Current Month,7686130.0
Short Int Prev Month,7004358.0
Short Int Pct of Float,0.013862600000000001
Days to Cover,2.48174
Float,554.7309
Shares Outstanding,555.4962
Institutions Holding Shares,1032.0
FCF Growth 5yr,-1.3253852633291883
"Price/Earnings (TTM, GAAP)",12.58
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.06480000000000001
Operating Profit Margin (TTM),0.020800000000000003
Net Profit Margin (TTM),0.0242
Annual Dividend Yield,0.0414
Dividend Change %,0.044800000000000006
"Dividend Growth Rate, 3 Years",0.0527
EPS Growth (MRQ),-0.2878
EPS Growth (TTM),-0.0493
Revenue Growth (MRQ),-0.08320000000000001
Revenue Growth (TTM),0.0032
Return On Equity (TTM),0.0824
Return On Assets (TTM),0.034
Return On Investment (TTM),0.0513
Revenue Per Employee (TTM),1688242.0
Total Debt/Total Capital (MRQ),0.39630000000000004
Change in Debt/Total Capital Quarter over Quarter,0.0013000000000000002
Quick Ratio (MRQ),1.0
Interest Coverage (MRQ),
newConstructs,3
researchTeam,reduce
cfra,3
creditSuisse,neutral
theStreet,hold
ford,2
marketEdge opinion,neutralfromavoid
marketEdge,1
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
cfra since,2020-01-31 00:00:00
creditSuisse since,2013-12-09 00:00:00
theStreet since,2020-02-26 00:00:00
ford since,2020-03-06 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
