,SIVB
% Above Low,0.45890000000000003
% Held by Institutions,0.9265000000000001
52-Wk Range,['127.39 - 270.95']
Annual Dividend $,
Annual Dividend %,
Ask,192.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.2
Bid,181.6
Bid Size,100.0
Closing Price,185.85
Day Change $,2.21
Day Change %,0.012
Day High,189.46
Day Low,183.64
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",18.84
Ex-dividend Date,No dividend
Historical Volatility,0.608
Last (size),1.0
Last (time),3:59p ET 05/08/20
Market Cap,9.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.87
Prev Close,183.64
Short Interest,0.036699999999999997
Today's Open,188.52
Volume,443907.0
Volume 10-day Avg,463100.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.7334928229665072
Growth 1yr High Est,-0.32523616734143046
Growth 1yr Consensus Est,-0.5293644951539689
Growth 2yr Low Est,0.23289452208945727
Growth 2yr High Est,-0.08595141700404857
Growth 2yr Consensus Est,0.07347155254270435
Growth 5yr Low Est,0.3805234873246276
Growth 5yr High Est,0.21791417352829603
Growth 5yr Consensus Est,0.2992188304264618
Growth 5yr Actual/Est,0.19460749395552715
Growth 3yr Historic,0.2531755941474329
Price/Earnings (TTM),9.86689
Price/Sales (TTM),2.85894
Price/Book (MRQ),1.42943
Price/Cash Flow (TTM),10.03147
5yr Low,77.87
5yr High,333.74
5yr Avg Return,0.10066666666666668
EPS Growth 5yr,0.32540709999999995
Revenue Growth 5yr,0.20958210000000002
Dividend Growth 5yr,
Short Int Current Month,1882479.0
Short Int Prev Month,1771688.0
Short Int Pct of Float,0.036705999999999996
Days to Cover,3.74535
Float,51.37492
Shares Outstanding,51.54682
Institutions Holding Shares,760.0
FCF Growth 5yr,0.324031060931382
"Price/Earnings (TTM, GAAP)",9.87
"PEG Ratio (TTM, GAAP)",1.23
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.4161
Net Profit Margin (TTM),0.3064
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.4968
EPS Growth (TTM),-0.0542
Revenue Growth (MRQ),-0.0362
Revenue Growth (TTM),0.11359999999999999
Return On Equity (TTM),0.1629
Return On Assets (TTM),0.0152
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.029300000000000003
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,2
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
theStreet,hold
cfra,4
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-03-17 00:00:00
cfra since,2019-07-25 00:00:00
ford since,2019-09-06 00:00:00
creditSuisse since,
