,Industry,PAYX,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",38.2,21.89,Valuation,0.5730366492146597
Price/Sales (TTM),10.4,5.86,Valuation,0.5634615384615385
Price/Book (MRQ),16.91,8.72,Valuation,0.5156712004730929
"PEG Ratio (TTM, GAAP)",3.79,5.66,Valuation,1.4934036939313984
Gross Profit Margin (TTM),0.44439999999999996,,Profitability,
Operating Profit Margin (TTM),0.3123,0.3593,Profitability,1.1504963176432916
Net Profit Margin (TTM),0.2439,0.2698,Profitability,1.106191061910619
Annual Dividend Yield,0.0103,0.037000000000000005,Dividend,3.5922330097087385
Dividend Change %,0.27890000000000004,0.1165,Dividend,0.417712441735389
"Dividend Growth Rate, 3 Years",0.10740000000000001,0.1104,Dividend,1.0279329608938546
EPS Growth (MRQ),-0.1329,0.3688,Gowth rates,-2.775018811136193
EPS Growth (TTM),0.1008,0.08800000000000001,Gowth rates,0.8730158730158731
Revenue Growth (MRQ),0.1908,0.1534,Gowth rates,0.8039832285115305
Revenue Growth (TTM),0.1852,0.1286,Gowth rates,0.6943844492440604
Return On Equity (TTM),0.43460000000000004,0.41350000000000003,Effectiveness,0.951449608835711
Return On Assets (TTM),0.12150000000000001,0.11170000000000001,Effectiveness,0.9193415637860082
Return On Investment (TTM),0.19039999999999999,0.2808,Effectiveness,1.4747899159663866
Revenue Per Employee (TTM),660423.0,268353.0,Effectiveness,0.4063350307303047
Total Debt/Total Capital (MRQ),0.47630000000000006,0.23500000000000001,Financial strength,0.4933865211001469
Change in Debt/Total Capital Quarter over Quarter,0.0029,0.0009,Financial strength,0.3103448275862069
Quick Ratio (MRQ),0.11,,Financial strength,
Interest Coverage (MRQ),22.37,88.7,Financial strength,3.9651318730442555
