,PAYX
% Above Low,0.4018
% Held by Institutions,0.6563
52-Wk Range,['47.87 - 90.54']
Annual Dividend $,2.48
Annual Dividend %,0.0364
Ask,68.95
Ask Size,10800.0
B/A Ratio,0.09259259259259259
B/A Size,1000x10800
Beta,0.9
Bid,67.18
Bid Size,1000.0
Closing Price,67.11
Day Change $,-0.96
Day Change %,-0.0141
Day High,68.81
Day Low,66.9
Dividend Pay Date,2020-05-28 00:00:00
"EPS (TTM, GAAP)",3.07
Ex-dividend,2020-05-14 00:00:00
Ex-dividend Date,05/14/20
Historical Volatility,0.45299999999999996
Last (size),19.0
Last (time),4:00p ET 05/08/20
Market Cap,24.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",21.89
Prev Close,68.07
Short Interest,0.0351
Today's Open,68.66
Volume,2181285.0
Volume 10-day Avg,2084363.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-06-24 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,0.060070671378091856
Growth 1yr High Est,0.06551724137931036
Growth 1yr Consensus Est,0.06279395637870111
Growth 2yr Low Est,-0.02996466431095407
Growth 2yr High Est,0.014959267938846166
Growth 2yr Consensus Est,-0.007502698186053952
Growth 5yr Low Est,0.049597010967173144
Growth 5yr High Est,0.03683660512326922
Growth 5yr Consensus Est,0.04321680804522118
Growth 5yr Actual/Est,0.07245976627077216
Growth 3yr Historic,0.06820409982174686
Price/Earnings (TTM),21.88838
Price/Sales (TTM),5.86326
Price/Book (MRQ),8.7225
Price/Cash Flow (TTM),18.21534
5yr Low,41.59
5yr High,90.54
5yr Avg Return,0.07151666666666666
EPS Growth 5yr,0.10811299999999999
Revenue Growth 5yr,0.0841357
Dividend Growth 5yr,0.10438359999999999
Short Int Current Month,11218889.0
Short Int Prev Month,6937897.0
Short Int Pct of Float,0.0350623
Days to Cover,3.28639
Float,320.1278
Shares Outstanding,358.7155
Institutions Holding Shares,1432.0
FCF Growth 5yr,0.08285428487380105
"Price/Earnings (TTM, GAAP)",21.89
"PEG Ratio (TTM, GAAP)",5.66
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3593
Net Profit Margin (TTM),0.2698
Annual Dividend Yield,0.037000000000000005
Dividend Change %,0.1165
"Dividend Growth Rate, 3 Years",0.1104
EPS Growth (MRQ),0.3688
EPS Growth (TTM),0.08800000000000001
Revenue Growth (MRQ),0.1534
Revenue Growth (TTM),0.1286
Return On Equity (TTM),0.41350000000000003
Return On Assets (TTM),0.11170000000000001
Return On Investment (TTM),0.2808
Revenue Per Employee (TTM),268353.0
Total Debt/Total Capital (MRQ),0.23500000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),
Interest Coverage (MRQ),88.7
newConstructs,3
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
theStreet,buy
cfra,3
ford,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2009-08-21 00:00:00
cfra since,2015-12-22 00:00:00
ford since,2020-01-24 00:00:00
creditSuisse since,2018-10-02 00:00:00
