,WU
% Above Low,0.1461
% Held by Institutions,1.1792
52-Wk Range,['17.39 - 28.45']
Annual Dividend $,0.9
Annual Dividend %,0.0463
Ask,20.23
Ask Size,200.0
B/A Ratio,3.0
B/A Size,600x200
Beta,0.9
Bid,18.4
Bid Size,600.0
Closing Price,19.93
Day Change $,0.48
Day Change %,0.024700000000000003
Day High,20.11
Day Low,19.58
Dividend Pay Date,2020-03-31 00:00:00
"EPS (TTM, GAAP)",2.48
Ex-dividend,2020-03-16 00:00:00
Ex-dividend Date,03/16/20
Historical Volatility,0.371
Last (size),23200.0
Last (time),6:30p ET 05/08/20
Market Cap,8.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.04
Prev Close,19.45
Short Interest,0.138
Today's Open,19.67
Volume,6852612.0
Volume 10-day Avg,7868935.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.36416184971098264
Growth 1yr High Est,0.04999999999999982
Growth 1yr Consensus Est,-0.1570809248554914
Growth 2yr Low Est,0.04519180241723597
Growth 2yr High Est,0.0884920634920634
Growth 2yr Consensus Est,0.06684193295464969
Growth 5yr Low Est,0.016519773106713265
Growth 5yr High Est,0.03695748280467265
Growth 5yr Consensus Est,0.026738627955692956
Growth 5yr Actual/Est,0.018555449327975926
Growth 3yr Historic,-0.008072916666666652
Price/Earnings (TTM),8.037
Price/Sales (TTM),1.59168
Price/Book (MRQ),
Price/Cash Flow (TTM),6.23712
5yr Low,16.02
5yr High,28.45
5yr Avg Return,0.024750000000000008
EPS Growth 5yr,0.0911391
Revenue Growth 5yr,-0.011500600000000001
Dividend Growth 5yr,0.0985605
Short Int Current Month,56345997.0
Short Int Prev Month,51787953.0
Short Int Pct of Float,0.1379629
Days to Cover,9.59499
Float,408.8315
Shares Outstanding,410.9048
Institutions Holding Shares,843.0
FCF Growth 5yr,-0.0010201191355978302
"Price/Earnings (TTM, GAAP)",8.04
"PEG Ratio (TTM, GAAP)",0.94
Gross Profit Margin (TTM),0.42
Operating Profit Margin (TTM),0.28
Net Profit Margin (TTM),0.2064
Annual Dividend Yield,0.0452
Dividend Change %,0.0526
"Dividend Growth Rate, 3 Years",0.0772
EPS Growth (MRQ),0.3247
EPS Growth (TTM),0.3247
Revenue Growth (MRQ),-0.09
Revenue Growth (TTM),-0.0709
Return On Equity (TTM),
Return On Assets (TTM),0.1193
Return On Investment (TTM),0.16219999999999998
Revenue Per Employee (TTM),447400.0
Total Debt/Total Capital (MRQ),1.0513
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),4.37
researchTeam,hold
newConstructs,3
marketEdge opinion,neutralfromavoid
marketEdge,2
cfra,4
theStreet,hold
creditSuisse,underperform
ford,3
researchTeam since,2020-05-01 00:00:00
newConstructs since,2020-05-08 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2018-10-11 00:00:00
theStreet since,2019-11-01 00:00:00
creditSuisse since,2020-01-23 00:00:00
ford since,2020-03-13 00:00:00
