,WU
Price/Earnings (TTM),8.037
Price/Sales (TTM),1.59168
Price/Book (MRQ),
Price/Cash Flow (TTM),6.23712
5yr Low,16.02
5yr High,28.45
5yr Avg Return,0.024750000000000008
EPS Growth 5yr,0.0911391
Revenue Growth 5yr,-0.011500600000000001
Dividend Growth 5yr,0.0985605
Short Int Current Month,56345997.0
Short Int Prev Month,51787953.0
Short Int Pct of Float,0.1379629
Days to Cover,9.59499
Float,408.8315
Shares Outstanding,410.9048
Institutions Holding Shares,843.0
% Held by Institutions,1.179183
FCF Growth 5yr,-0.0010201191355978302
