,2015,2016,2017,2018,2019,2020,Report
high,22.69,22.26,22.7,22.21,28.0,28.45,
low,16.91,16.02,18.39,16.42,16.81,17.39,
change,-0.1822,0.23690000000000003,-0.13119999999999998,-0.10490000000000001,0.5893,-0.2594,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash and Short Term Invs,1316.0,878.0,838.0,973.0,1451.0,,Balance Sheet
Prepaid Expenses,83.0,127.0,121.0,101.0,102.0,,Balance Sheet
Total Current Assets,,,,,,,Balance Sheet
Buildings,171.0,173.0,176.0,247.0,160.0,,Balance Sheet
Land/Improvements,17.0,17.0,17.0,17.0,0.0,,Balance Sheet
Machinery/Equipment,530.0,586.0,605.0,657.0,591.0,,Balance Sheet
Construction in Progress,13.0,5.0,10.0,0.0,3.0,,Balance Sheet
Other Prop./Plant/Equip.,40.0,40.0,42.0,52.0,249.0,,Balance Sheet
Prop./Plant/Equip. - Gross,770.0,821.0,850.0,973.0,1003.0,,Balance Sheet
Accumulated Depreciation,-538.0,-600.0,-636.0,-702.0,-617.0,,Balance Sheet
Prop./Plant/Equip. - Net,232.0,221.0,214.0,270.0,387.0,,Balance Sheet
"Goodwill, Net",3164.0,3162.0,2728.0,2725.0,2567.0,,Balance Sheet
Intangibles - Gross,1589.0,1622.0,1629.0,1646.0,1456.0,,Balance Sheet
Accum. Intangible Amort.,-884.0,-958.0,-1043.0,-1048.0,-962.0,,Balance Sheet
Intangibles - Net,705.0,664.0,586.0,598.0,495.0,,Balance Sheet
Long Term Investments,43.0,40.0,29.0,31.0,33.0,,Balance Sheet
"Other Assets, Total",3906.0,4328.0,4715.0,4297.0,3725.0,,Balance Sheet
Total Assets,9449.0,9420.0,9231.0,8997.0,8759.0,,Balance Sheet
Payable/Accrued,607.0,1130.0,719.0,565.0,602.0,,Balance Sheet
Accrued Expenses,,,,,242.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,125.0,245.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,0.0,0.0,,Balance Sheet
"Other Curr. Lblts, Total",212.0,407.0,1252.0,1054.0,1020.0,,Balance Sheet
Total Current Liabilities,,,,,,,Balance Sheet
Total Long Term Debt,3216.0,2786.0,3034.0,3309.0,2984.0,,Balance Sheet
Total Debt,3216.0,2786.0,3034.0,3434.0,3229.0,,Balance Sheet
Deferred Income Tax,273.0,86.0,173.0,161.0,152.0,,Balance Sheet
Pension Benefits - Underfunded,69.0,26.0,15.0,16.0,11.0,,Balance Sheet
Other Liabilities,3668.0,4082.0,4531.0,4077.0,3541.0,,Balance Sheet
"Other Liabilities, Total",3738.0,4109.0,4546.0,4093.0,3553.0,,Balance Sheet
Total Liabilities,8044.0,8517.0,9723.0,9307.0,8798.0,,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Common Stock,5.0,5.0,5.0,4.0,4.0,,Balance Sheet
Additional Paid-In Capital,567.0,641.0,698.0,756.0,841.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),977.0,419.0,-966.0,-839.0,-676.0,,Balance Sheet
Unrealized Gain (Loss),8.0,-4.0,3.0,-1.0,25.0,,Balance Sheet
Cum. Trans. Adjustment,-66.0,-71.0,-77.0,-101.0,-101.0,,Balance Sheet
Min. Pension Lblty Adj.,-127.0,-122.0,-113.0,-136.0,-129.0,,Balance Sheet
Other Comprehensive Income,41.0,34.0,-41.0,7.0,-4.0,,Balance Sheet
"Other Equity, Total",-152.0,-159.0,-231.0,-230.0,-234.0,,Balance Sheet
Total Equity,1405.0,902.0,-491.0,-310.0,-40.0,,Balance Sheet
Total Liabilities & Shareholders’ Equity,9449.0,9420.0,9231.0,8997.0,8759.0,,Balance Sheet
Ttl Comm. Shares Outs.,502.0,482.0,459.0,441.0,418.0,,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Income Statement
Total Revenue,5484.0,5423.0,5524.0,5590.0,5292.0,,Income Statement
"Cost of Revenue, Total",3198.0,3268.0,3320.0,3337.0,3126.0,,Income Statement
"Sell/Gen/AdminExpenses,Tot",1201.0,1700.0,1270.0,1284.0,1371.0,,Income Statement
"Inter/Invest Inc, Operating",-36.0,-13.0,21.0,-59.0,-24.0,,Income Statement
Impair-Assets Held for Use,,,464.0,0.0,0.0,,Income Statement
Other Unusual Expnse (In),11.0,-15.0,-23.0,-94.0,-640.0,,Income Statement
Unusual Expense (Income),11.0,-15.0,441.0,-94.0,-640.0,,Income Statement
Total Operating Expense,4374.0,4939.0,5051.0,4468.0,3834.0,,Income Statement
Total Operating Income,1109.0,484.0,473.0,1122.0,1459.0,,Income Statement
"Inter Expse,Net Non-Operat",-182.0,-162.0,-144.0,-149.0,-153.0,,Income Statement
"Inter Income, Non-Operating",11.0,4.0,5.0,5.0,6.0,,Income Statement
"Invest Income, Non-Operat",15.0,14.0,9.0,-3.0,1.0,,Income Statement
