,PYPL
% Below High,0.0152
% Held by Institutions,0.8426
52-Wk Range,['82.07 - 147.20']
Annual Dividend $,
Annual Dividend %,
Ask,144.7
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.1
Bid,144.52
Bid Size,400.0
Closing Price,144.96
Day Change $,-1.33
Day Change %,-0.0091
Day High,146.4
Day Low,142.11
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.58
Ex-dividend Date,No dividend
Historical Volatility,0.47200000000000003
Last (size),4.0
Last (time),4:15p ET 05/08/20
Market Cap,170.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",91.75
Prev Close,146.29
Short Interest,0.0101
Today's Open,143.25
Volume,13169422.0
Volume 10-day Avg,11748260.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,37.0
Growth 1yr Low Est,-0.09152542372881356
Growth 1yr High Est,0.1225806451612903
Growth 1yr Consensus Est,0.015527610716238371
Growth 2yr Low Est,0.14267012395648865
Growth 2yr High Est,0.20209492028179454
Growth 2yr Consensus Est,0.1723825221191416
Growth 5yr Low Est,0.3389013192503839
Growth 5yr High Est,0.23971434339842385
Growth 5yr Consensus Est,0.28930783132440385
Growth 5yr Actual/Est,0.21184635593563084
Growth 3yr Historic,0.1386689865158765
Price/Earnings (TTM),91.75322
Price/Sales (TTM),9.31017
Price/Book (MRQ),10.64934
Price/Cash Flow (TTM),59.63602
5yr Low,30.0
5yr High,147.2
5yr Avg Return,0.2789166666666667
EPS Growth 5yr,0.43224870000000004
Revenue Growth 5yr,0.1723526
Dividend Growth 5yr,
Short Int Current Month,11872390.0
Short Int Prev Month,14413478.0
Short Int Pct of Float,0.0101373
Days to Cover,1.43082
Float,1170.313
Shares Outstanding,1172.891
Institutions Holding Shares,2393.0
FCF Growth 5yr,0.2882321750753386
"Price/Earnings (TTM, GAAP)",91.75
"PEG Ratio (TTM, GAAP)",5.14
Gross Profit Margin (TTM),0.43950000000000006
Operating Profit Margin (TTM),0.1423
Net Profit Margin (TTM),0.1027
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.8339
EPS Growth (TTM),-0.1533
Revenue Growth (MRQ),-0.06910000000000001
Revenue Growth (TTM),0.149
Return On Equity (TTM),0.12060000000000001
Return On Assets (TTM),0.0373
Return On Investment (TTM),0.08449999999999999
Revenue Per Employee (TTM),787155.0
Total Debt/Total Capital (MRQ),0.3323
Change in Debt/Total Capital Quarter over Quarter,0.024
Quick Ratio (MRQ),
Interest Coverage (MRQ),4.69
newConstructs,4
researchTeam,hold
theStreet,buy
marketEdge opinion,long
marketEdge,0
creditSuisse,outperform
cfra,3
ford,3
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-17 00:00:00
theStreet since,2017-07-05 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
creditSuisse since,2020-01-23 00:00:00
cfra since,2016-04-16 00:00:00
ford since,2019-11-29 00:00:00
