,AXP
% Above Low,0.3358
% Held by Institutions,0.851
52-Wk Range,['67.00 - 138.13']
Annual Dividend $,1.72
Annual Dividend %,0.019799999999999998
Ask,89.95
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.1
Bid,89.54
Bid Size,300.0
Change Since Close,0.30| |(0.34%)
Closing Price,89.5
Day Change $,2.77
Day Change %,0.0319
Day High,89.66
Day Low,87.55
Dividend Pay Date,2020-08-10 00:00:00
"EPS (TTM, GAAP)",6.6
Ex-dividend,2020-07-01 00:00:00
Ex-dividend Date,07/01/20
Historical Volatility,0.534
Last (size),2.0
Last (time),6:30p ET 05/08/20
Last Trade,89.8
Market Cap,72.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.14
Prev Close,86.73
Short Interest,0.013500000000000002
Today's Open,88.5
Volume,3917097.0
Volume 10-day Avg,6104372.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-24 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-1.0
Growth 1yr High Est,-0.31355932203389825
Growth 1yr Consensus Est,-0.6567796610169492
Growth 2yr Low Est,inf
Growth 2yr High Est,0.264737093833139
Growth 2yr Consensus Est,inf
Growth 5yr Low Est,inf
Growth 5yr High Est,0.22363069932101967
Growth 5yr Consensus Est,inf
Growth 5yr Actual/Est,0.2717071371219491
Growth 3yr Historic,0.09185315766110191
Price/Earnings (TTM),13.13737
Price/Sales (TTM),1.55186
Price/Book (MRQ),3.3237
Price/Cash Flow (TTM),10.40155
5yr Low,50.27
5yr High,138.13
5yr Avg Return,0.048883333333333334
EPS Growth 5yr,0.0753581
Revenue Growth 5yr,0.054743700000000006
Dividend Growth 5yr,0.1030083
Short Int Current Month,11190429.0
Short Int Prev Month,11040360.0
Short Int Pct of Float,0.0135101
Days to Cover,1.5248
Float,804.1284
Shares Outstanding,804.9715
Institutions Holding Shares,2050.0
FCF Growth 5yr,0.1452976776406361
"Price/Earnings (TTM, GAAP)",13.14
"PEG Ratio (TTM, GAAP)",2.19
Gross Profit Margin (TTM),0.6889000000000001
Operating Profit Margin (TTM),0.1539
Net Profit Margin (TTM),0.12390000000000001
Annual Dividend Yield,0.0198
Dividend Change %,0.11109999999999999
"Dividend Growth Rate, 3 Years",0.1037
EPS Growth (MRQ),-0.7978000000000001
EPS Growth (TTM),-0.0913
Revenue Growth (MRQ),-0.09230000000000001
Revenue Growth (TTM),0.061
Return On Equity (TTM),0.252
Return On Assets (TTM),0.0291
Return On Investment (TTM),0.055
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.8645
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,2
researchTeam,hold
theStreet,hold
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,underperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
theStreet since,2020-04-06 00:00:00
cfra since,2019-01-18 00:00:00
ford since,2020-01-10 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2007-07-24 00:00:00
