,2015,2016,2017,2018,2019,2020,Report
high,81.92,75.74,100.53,114.55,129.34,138.13,
low,67.57,50.27,74.74,87.54,93.23,67.0,
change,-0.1202,0.08800000000000001,0.3261,-0.0442,0.32560000000000006,-0.282,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash,2935.0,3278.0,5148.0,3253.0,3402.0,,Balance Sheet
Cash & Equivalents,19569.0,20779.0,27709.0,24026.0,20392.0,,Balance Sheet
Cash and Short Term Invs,22504.0,24057.0,32857.0,27279.0,23794.0,,Balance Sheet
"Trade Accts Recvble, Gross",44133.0,47308.0,54047.0,55893.0,57413.0,,Balance Sheet
Prov. for Doubtful Accts,-462.0,-467.0,-521.0,-573.0,-619.0,,Balance Sheet
"Trade Accts Recvble, Net",58663.0,46841.0,53526.0,55320.0,56794.0,,Balance Sheet
Other Receivables,3024.0,3232.0,3209.0,2907.0,,,Balance Sheet
"Total Receivables, Net",61687.0,50073.0,56735.0,58227.0,56794.0,,Balance Sheet
Prepaid Expenses,851.0,696.0,684.0,1458.0,,,Balance Sheet
Total Current Assets,,,,,,,Balance Sheet
Prop./Plant/Equip. - Gross,10909.0,9578.0,9784.0,10431.0,11396.0,,Balance Sheet
Accumulated Depreciation,-6801.0,-5145.0,-5455.0,-6015.0,-6562.0,,Balance Sheet
Prop./Plant/Equip. - Net,4108.0,4433.0,4329.0,4416.0,4834.0,,Balance Sheet
"Goodwill, Net",2749.0,2927.0,3009.0,3072.0,3315.0,,Balance Sheet
Intangibles - Gross,1737.0,1885.0,2105.0,702.0,704.0,,Balance Sheet
Accum. Intangible Amort.,-941.0,-1017.0,-1206.0,-427.0,-437.0,,Balance Sheet
Intangibles - Net,796.0,868.0,899.0,275.0,267.0,,Balance Sheet
Long Term Investments,4017.0,4308.0,4252.0,5856.0,9698.0,,Balance Sheet
Note Rcvble - Long Term,58799.0,65461.0,74300.0,83396.0,89624.0,,Balance Sheet
Def. Inc. Tax - LT Asset,2231.0,2336.0,1637.0,1480.0,1461.0,,Balance Sheet
Restricted Cash - LT,477.0,286.0,336.0,363.0,514.0,,Balance Sheet
Other Assets,2965.0,3448.0,2158.0,2780.0,8020.0,,Balance Sheet
"Other Assets, Total",2965.0,3448.0,2158.0,2780.0,8020.0,,Balance Sheet
Total Assets,161184.0,158893.0,181196.0,188602.0,198321.0,,Balance Sheet
Accounts Payable,11822.0,11190.0,14657.0,12255.0,12738.0,,Balance Sheet
Notes Payable/ST Debt,60218.0,60878.0,70567.0,74088.0,79729.0,,Balance Sheet
"Other Curr. Lblts, Total",,,,,1122.0,,Balance Sheet
Total Current Liabilities,,,,,,,Balance Sheet
Long Term Debt,48061.0,46990.0,55781.0,58404.0,57810.0,,Balance Sheet
Capital Lease Obligations,,,23.0,19.0,25.0,,Balance Sheet
Total Long Term Debt,48061.0,46990.0,55804.0,58423.0,57835.0,,Balance Sheet
Total Debt,108279.0,107868.0,126371.0,132511.0,137564.0,,Balance Sheet
Pension Benefits - Underfunded,,,,,2429.0,,Balance Sheet
Other Liabilities,20410.0,19334.0,21907.0,21546.0,21397.0,,Balance Sheet
"Other Liabilities, Total",20410.0,19334.0,21907.0,21546.0,23826.0,,Balance Sheet
Total Liabilities,140511.0,138392.0,162935.0,166312.0,175250.0,,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,0.0,0.0,0.0,,Balance Sheet
Common Stock,194.0,181.0,172.0,170.0,163.0,,Balance Sheet
Additional Paid-In Capital,13348.0,12733.0,12210.0,12218.0,11774.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),9665.0,10371.0,8307.0,12499.0,13871.0,,Balance Sheet
Unrealized Gain (Loss),58.0,7.0,0.0,-8.0,33.0,,Balance Sheet
Cum. Trans. Adjustment,-2044.0,-2262.0,-1961.0,-2133.0,-2189.0,,Balance Sheet
Min. Pension Lblty Adj.,-548.0,-529.0,-467.0,-456.0,-581.0,,Balance Sheet
"Other Equity, Total",-2592.0,-2791.0,-2428.0,-2589.0,-2770.0,,Balance Sheet
Total Equity,20673.0,20501.0,18261.0,22290.0,23071.0,,Balance Sheet
Total Liabilities & Shareholders’ Equity,161184.0,158893.0,181196.0,188602.0,198321.0,,Balance Sheet
Ttl Comm. Shares Outs.,969.0,904.0,859.0,847.0,810.0,,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Trsry Shrs-Pref. Iss. 1,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Income Statement
Total Revenue,33293.0,36036.0,37657.0,41625.0,45115.0,,Income Statement
"Cost of Revenue, Total",8484.0,9508.0,10858.0,12771.0,14220.0,,Income Statement
Selling/Gen/Admin Expense,8058.0,10594.0,9780.0,10628.0,11373.0,,Income Statement
Labor & Related Expense,4976.0,5259.0,5258.0,5250.0,5911.0,,Income Statement
"Sell/Gen/AdminExpenses,Tot",13034.0,15853.0,15038.0,15878.0,17284.0,,Income Statement
"Inter/Invest Inc, Operating",44.0,8.0,58.0,-87.0,-68.0,,Income Statement
Impair-Assets Held for Use,384.0,,,,,,Income Statement
Other Unusual Expnse (In),308.0,-1218.0,0.0,0.0,,,Income Statement
Unusual Expense (Income),692.0,-1218.0,0.0,0.0,,,Income Statement
Other Operating Expense,1113.0,1816.0,1518.0,1589.0,1677.0,,Income Statement
"Other, Net",1988.0,2027.0,2760.0,3352.0,3573.0,,Income Statement
"Other Operat Expse, Total",3101.0,3843.0,4278.0,4941.0,5250.0,,Income Statement
Total Operating Expense,25355.0,27994.0,30232.0,33503.0,36686.0,,Income Statement
Total Operating Income,7938.0,8042.0,7425.0,8122.0,8429.0,,Income Statement
Income Before Tax,7938.0,8042.0,7425.0,8122.0,8429.0,,Income Statement
Income Tax - Total,2775.0,2667.0,2077.0,1697.0,1670.0,,Income Statement
Income After Tax,5163.0,5375.0,5348.0,6425.0,6759.0,,Income Statement
Net Inc Before Extra Items,5163.0,5375.0,5348.0,6425.0,6759.0,,Income Statement
