,CMG
% Below High,0.0154
% Held by Institutions,0.9039
52-Wk Range,['415.00 - 940.28']
Annual Dividend $,
Annual Dividend %,
Ask,928.9
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,925.85
Bid Size,100.0
Change Since Close,2.17| |(0.23%)
Closing Price,925.83
Day Change $,28.32
Day Change %,0.0316
Day High,927.61
Day Low,893.42
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",11.94
Ex-dividend Date,No dividend
Historical Volatility,0.46799999999999997
Last (size),1.0
Last (time),6:30p ET 05/08/20
Last Trade,928.0
Market Cap,25.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",75.18
Prev Close,897.51
Short Interest,0.071
Today's Open,900.0
Volume,739720.0
Volume 10-day Avg,462382.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,36.0
Growth 1yr Low Est,-0.9663250366032211
Growth 1yr High Est,-0.1598897312198484
Growth 1yr Consensus Est,-0.5631073839115348
Growth 2yr Low Est,12.223359220828826
Growth 2yr High Est,0.4705063238896656
Growth 2yr Consensus Est,6.346932772359246
Growth 5yr Low Est,6.403743102477905
Growth 5yr High Est,0.49616865490257933
Growth 5yr Consensus Est,3.449955878690242
Growth 5yr Actual/Est,0.4256095450256831
Growth 3yr Historic,0.23087497491471004
Price/Earnings (TTM),75.17936
Price/Sales (TTM),4.40017
Price/Book (MRQ),14.93059
Price/Cash Flow (TTM),45.03939
5yr Low,247.52
5yr High,940.28
5yr Avg Return,0.14529999999999996
EPS Growth 5yr,-0.0262194
Revenue Growth 5yr,0.0633939
Dividend Growth 5yr,
Short Int Current Month,1941621.0
Short Int Prev Month,1904769.0
Short Int Pct of Float,0.07096960000000001
Days to Cover,2.60479
Float,27.44159
Shares Outstanding,27.89074
Institutions Holding Shares,884.0
FCF Growth 5yr,0.29860536086564904
"Price/Earnings (TTM, GAAP)",75.18
"PEG Ratio (TTM, GAAP)",4.04
Gross Profit Margin (TTM),0.26170000000000004
Operating Profit Margin (TTM),0.0712
Net Profit Margin (TTM),0.059500000000000004
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.056799999999999996
EPS Growth (TTM),0.6869
Revenue Growth (MRQ),-0.0204
Revenue Growth (TTM),0.1322
Return On Equity (TTM),0.2145
Return On Assets (TTM),0.0688
Return On Investment (TTM),0.0788
Revenue Per Employee (TTM),68541.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.58
Interest Coverage (MRQ),
newConstructs,4
researchTeam,reduce
theStreet,buy
cfra,3
ford,4
marketEdge opinion,neutralfromavoid
marketEdge,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
theStreet since,2019-04-25 00:00:00
cfra since,2019-04-25 00:00:00
ford since,2020-04-24 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2019-06-25 00:00:00
