,ULTA
% Above Low,0.8547
% Held by Institutions,0.9051
52-Wk Range,['124.05 - 368.83']
Annual Dividend $,
Annual Dividend %,
Ask,233.7
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.5
Bid,230.31
Bid Size,500.0
Closing Price,230.07
Day Change $,7.91
Day Change %,0.0356
Day High,230.37
Day Low,223.44
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",12.16
Ex-dividend Date,No dividend
Historical Volatility,0.688
Last (size),10.0
Last (time),4:00p ET 05/08/20
Market Cap,13.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",18.93
Prev Close,222.16
Short Interest,0.0641
Today's Open,225.64
Volume,635423.0
Volume 10-day Avg,862991.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-05-28 00:00:00
Growth Analysts,29.0
Growth 1yr Low Est,-0.7969798657718121
Growth 1yr High Est,0.0457190357439734
Growth 1yr Consensus Est,-0.37563041501391936
Growth 2yr Low Est,0.8763034555438459
Growth 2yr High Est,0.09122199799917274
Growth 2yr Consensus Est,0.48376272677150933
Growth 5yr Low Est,0.5431958742270159
Growth 5yr High Est,0.1389934862747238
Growth 5yr Consensus Est,0.34109468025086986
Growth 5yr Actual/Est,0.14029534538529356
Growth 3yr Historic,0.10677236298198023
Price/Earnings (TTM),18.92775
Price/Sales (TTM),1.75115
Price/Book (MRQ),6.84721
Price/Cash Flow (TTM),12.93515
5yr Low,120.38
5yr High,368.83
5yr Avg Return,0.08671666666666666
EPS Growth 5yr,0.2500715
Revenue Growth 5yr,0.17944569999999999
Dividend Growth 5yr,
Short Int Current Month,3451647.0
Short Int Prev Month,3027553.0
Short Int Pct of Float,0.06412230000000001
Days to Cover,2.68772
Float,53.82881
Shares Outstanding,56.30948
Institutions Holding Shares,969.0
FCF Growth 5yr,0.9570679047280033
"Price/Earnings (TTM, GAAP)",18.93
"PEG Ratio (TTM, GAAP)",7.14
Gross Profit Margin (TTM),0.3624
Operating Profit Margin (TTM),0.1218
Net Profit Margin (TTM),0.0954
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.7325
EPS Growth (TTM),0.1099
Revenue Growth (MRQ),0.3705
Revenue Growth (TTM),0.1015
Return On Equity (TTM),0.3793
Return On Assets (TTM),0.1753
Return On Investment (TTM),0.23170000000000002
Revenue Per Employee (TTM),411004.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),0.67
Interest Coverage (MRQ),
newConstructs,1
marketEdge opinion,neutralfromavoid
marketEdge,3
theStreet,hold
cfra,4
ford,3
creditSuisse,outperform
researchTeam,
newConstructs since,2020-05-08 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2019-10-01 00:00:00
cfra since,2018-11-08 00:00:00
ford since,2019-08-30 00:00:00
creditSuisse since,2018-06-01 00:00:00
researchTeam since,
