,Industry,PHM,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",15.95,7.8,Valuation,0.4890282131661442
Price/Sales (TTM),5569259.6,0.77,Valuation,1.3825895276995168e-07
Price/Book (MRQ),9667.18,1.45,Valuation,0.00014999203490573257
"PEG Ratio (TTM, GAAP)",0.35,2.36,Valuation,6.742857142857143
Gross Profit Margin (TTM),0.2198,0.23570000000000002,Profitability,1.0723384895359418
Operating Profit Margin (TTM),-3.3112,0.1319,Profitability,-0.039834501087219136
Net Profit Margin (TTM),-3.3248,0.1002,Profitability,-0.03013715110683349
Annual Dividend Yield,0.0125,0.0161,Dividend,1.2879999999999998
Dividend Change %,0.0536,0.22219999999999998,Dividend,4.145522388059701
"Dividend Growth Rate, 3 Years",0.0424,0.0692,Dividend,1.6320754716981132
EPS Growth (MRQ),4.1919,-0.3922,Gowth rates,-0.0935613922087836
EPS Growth (TTM),0.4582,0.0772,Gowth rates,0.16848537756438237
Revenue Growth (MRQ),-0.151,-0.2393,Gowth rates,1.58476821192053
Revenue Growth (TTM),-0.1503,0.028999999999999998,Gowth rates,-0.19294743845642048
Return On Equity (TTM),0.1404,0.19940000000000002,Effectiveness,1.4202279202279204
Return On Assets (TTM),0.0666,0.0974,Effectiveness,1.4624624624624623
Return On Investment (TTM),0.0836,0.1242,Effectiveness,1.4856459330143543
Revenue Per Employee (TTM),968436.0,2004050.0,Effectiveness,2.0693675162839877
Total Debt/Total Capital (MRQ),0.2663,0.4025,Financial strength,1.5114532482162977
Change in Debt/Total Capital Quarter over Quarter,-0.0004,0.0003,Financial strength,-0.7499999999999999
Quick Ratio (MRQ),0.57,,Financial strength,
Interest Coverage (MRQ),22.35,,Financial strength,
