,ALGN
% Above Low,0.6424
% Held by Institutions,0.8479000000000001
52-Wk Range,"['127.88', ' - ', '334.64']"
Annual Dividend $,
Annual Dividend %,
Ask,215.0
Ask Size,200.0
Ask close,210.16
B/A Ratio,0.5
B/A Size,100x200
Beta,2.0
Bid,205.04
Bid Size,100.0
Bid close,209.85
Change Since Close,2.45| |(1.17%)
Closing Price,210.03
Day Change $,-3.47
Day Change %,-0.0163
Day High,217.76
Day Low,207.02
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",23.85
Ex-dividend Date,No dividend
Historical Volatility,0.6559999999999999
Last (size),2.0
Last (time),3:59p ET 05/08/20
Last Trade,212.48
Market Cap,16.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,213.5
Short Interest,0.0701
Today's Open,217.29
Volume,844239.0
Volume 10-day Avg,1419821.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.9757009345794393
Growth 1yr High Est,-0.11948529411764708
Growth 1yr Consensus Est,-0.5475931143485432
Growth 2yr Low Est,21.165995686556435
Growth 2yr High Est,0.27428658049858773
Growth 2yr Consensus Est,10.72014113352751
Growth 5yr Low Est,14.14578775797977
Growth 5yr High Est,0.2151157848485209
Growth 5yr Consensus Est,7.180451771414146
Growth 5yr Actual/Est,0.30909222643276124
Growth 3yr Historic,0.09719130770999224
Price/Earnings (TTM),8.95136
Price/Sales (TTM),6.98106
Price/Book (MRQ),5.89384
Price/Cash Flow (TTM),8.53732
5yr Low,52.01
5yr High,398.88
5yr Avg Return,0.32258333333333333
EPS Growth 5yr,0.2554571
Revenue Growth 5yr,0.2587411
Dividend Growth 5yr,
Short Int Current Month,5053871.0
Short Int Prev Month,3859697.0
Short Int Pct of Float,0.07006509999999999
Days to Cover,3.94088
Float,72.21012
Shares Outstanding,78.76296
Institutions Holding Shares,909.0
FCF Growth 5yr,0.2988172055612438
"Price/Earnings (TTM, GAAP)",8.95
"PEG Ratio (TTM, GAAP)",0.51
Gross Profit Margin (TTM),0.7208
Operating Profit Margin (TTM),0.21780000000000002
Net Profit Margin (TTM),0.7857
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),11.5481
EPS Growth (TTM),4.142799999999999
Revenue Growth (MRQ),-0.1521
Revenue Growth (TTM),0.1589
Return On Equity (TTM),0.9195000000000001
Return On Assets (TTM),0.6106
Return On Investment (TTM),0.8442000000000001
Revenue Per Employee (TTM),165780.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01
Quick Ratio (MRQ),1.6
Interest Coverage (MRQ),
newConstructs,3
researchTeam,reduce
cfra,3
theStreet,hold
ford,4
marketEdge opinion,neutralfromavoid
marketEdge,1
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
cfra since,2020-04-18 00:00:00
theStreet since,2020-04-03 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2014-10-19 00:00:00
