,CRM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",799.23,50.54,Valuation,15.813810842896716
Price/Sales (TTM),8.93,13.35,Valuation,0.6689138576779026
Price/Book (MRQ),4.48,15.07,Valuation,0.29727936297279367
"PEG Ratio (TTM, GAAP)",40.46,0.93,Valuation,43.50537634408602
Gross Profit Margin (TTM),0.7523000000000001,0.7291,Profitability,1.031820052119051
Operating Profit Margin (TTM),0.0174,0.1791,Profitability,0.09715242881072025
Net Profit Margin (TTM),0.0077,0.1446,Profitability,0.05325034578146611
Annual Dividend Yield,,0.0068000000000000005,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0526,Dividend,
EPS Growth (MRQ),-1.1953,0.3473,Gowth rates,-3.441693060754391
EPS Growth (TTM),-0.8576,0.5418000000000001,Gowth rates,-1.5828719084533036
Revenue Growth (MRQ),0.07490000000000001,0.1888,Gowth rates,0.3967161016949153
Revenue Growth (TTM),0.2873,0.187,Gowth rates,1.5363636363636364
Return On Equity (TTM),0.0053,0.193,Effectiveness,0.027461139896373058
Return On Assets (TTM),0.0031,0.0956,Effectiveness,0.03242677824267782
Return On Investment (TTM),0.0044,0.10890000000000001,Effectiveness,0.0404040404040404
Revenue Per Employee (TTM),348939.0,640191.0,Effectiveness,0.5450545227908546
Total Debt/Total Capital (MRQ),0.0828,0.3724,Financial strength,0.22234156820622986
Change in Debt/Total Capital Quarter over Quarter,-0.0053,-0.0001,Financial strength,53.0
Quick Ratio (MRQ),,1.41,Financial strength,
Interest Coverage (MRQ),,43.75,Financial strength,
