,CRM
% Below High,0.1013
% Held by Institutions,0.8256
52-Wk Range,['115.29 - 195.72']
Annual Dividend $,
Annual Dividend %,
Ask,176.47
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.1
Bid,175.51
Bid Size,500.0
Change Since Close,-0.10| |(-0.06%)
Closing Price,175.9
Day Change $,6.0
Day Change %,0.0353
Day High,176.08
Day Low,171.15
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.21
Ex-dividend Date,No dividend
Historical Volatility,0.42
Last (size),10.0
Last (time),6:30p ET 05/08/20
Last Trade,175.8
Market Cap,158.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",799.23
Prev Close,169.9
Short Interest,0.0167
Today's Open,172.95
Volume,5405882.0
Volume 10-day Avg,5457537.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-05-28 00:00:00
Growth Analysts,39.0
Growth 1yr Low Est,-0.181184668989547
Growth 1yr High Est,0.11627906976744184
Growth 1yr Consensus Est,-0.032452799611052574
Growth 2yr Low Est,0.03493958039884354
Growth 2yr High Est,0.20248477297895906
Growth 2yr Consensus Est,0.1187121766889013
Growth 5yr Low Est,0.3110303962600278
Growth 5yr High Est,0.38493032975189084
Growth 5yr Consensus Est,0.34798036300595936
Growth 5yr Actual/Est,0.35317799129860833
Growth 3yr Historic,0.28107744107744104
Price/Earnings (TTM),799.2285
Price/Sales (TTM),8.93207
Price/Book (MRQ),4.47752
Price/Cash Flow (TTM),67.36683
5yr Low,52.6
5yr High,195.72
5yr Avg Return,0.18056666666666668
EPS Growth 5yr,
Revenue Growth 5yr,0.2604808
Dividend Growth 5yr,
Short Int Current Month,14341924.0
Short Int Prev Month,13478052.0
Short Int Pct of Float,0.0167275
Days to Cover,2.04063
Float,862.6225
Shares Outstanding,898.8853
Institutions Holding Shares,2147.0
FCF Growth 5yr,0.4126455342032956
"Price/Earnings (TTM, GAAP)",799.23
"PEG Ratio (TTM, GAAP)",40.46
Gross Profit Margin (TTM),0.7523000000000001
Operating Profit Margin (TTM),0.0174
Net Profit Margin (TTM),0.0077
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.1953
EPS Growth (TTM),-0.8576
Revenue Growth (MRQ),0.07490000000000001
Revenue Growth (TTM),0.2873
Return On Equity (TTM),0.0053
Return On Assets (TTM),0.0031
Return On Investment (TTM),0.0044
Revenue Per Employee (TTM),348939.0
Total Debt/Total Capital (MRQ),0.0828
Change in Debt/Total Capital Quarter over Quarter,-0.0053
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,4
researchTeam,reduce
theStreet,hold
cfra,5
ford,4
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-02-28 00:00:00
theStreet since,2019-08-23 00:00:00
cfra since,2020-02-29 00:00:00
ford since,2020-04-09 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2017-04-27 00:00:00
