,ANTM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",14.38,22.76,Valuation,0.6318101933216168
Price/Sales (TTM),0.61,10.65,Valuation,0.057276995305164315
Price/Book (MRQ),2.11,6.03,Valuation,0.3499170812603648
"PEG Ratio (TTM, GAAP)",0.96,62.83,Valuation,0.015279325163138627
Gross Profit Margin (TTM),,0.1463,Profitability,
Operating Profit Margin (TTM),0.063,0.028300000000000002,Profitability,2.2261484098939928
Net Profit Margin (TTM),0.0437,0.0068000000000000005,Profitability,6.426470588235294
Annual Dividend Yield,0.0143,0.0122,Dividend,1.1721311475409835
Dividend Change %,0.0667,0.10099999999999999,Dividend,0.6603960396039604
"Dividend Growth Rate, 3 Years",0.0717,0.10400000000000001,Dividend,0.6894230769230769
EPS Growth (MRQ),0.6402,0.608,Gowth rates,1.0529605263157895
EPS Growth (TTM),0.2303,0.0036,Gowth rates,63.97222222222223
Revenue Growth (MRQ),0.08220000000000001,0.1227,Gowth rates,0.6699266503667483
Revenue Growth (TTM),0.1591,0.21739999999999998,Gowth rates,0.7318307267709292
Return On Equity (TTM),0.1549,0.1627,Effectiveness,0.9520590043023971
Return On Assets (TTM),0.0609,0.050800000000000005,Effectiveness,1.1988188976377951
Return On Investment (TTM),,0.016200000000000003,Effectiveness,
Revenue Per Employee (TTM),1547620.0,1202685.0,Effectiveness,1.2868041091391345
Total Debt/Total Capital (MRQ),0.4062,0.4826,Financial strength,0.8416908412764195
Change in Debt/Total Capital Quarter over Quarter,0.0001,0.0022,Financial strength,0.045454545454545456
Quick Ratio (MRQ),,0.37,Financial strength,
Interest Coverage (MRQ),12.07,10.31,Financial strength,1.1707080504364695
