,ANTM
% Below High,0.12210000000000001
% Held by Institutions,0.9298000000000001
52-Wk Range,['171.03 - 312.48']
Annual Dividend $,3.8
Annual Dividend %,0.0143
Ask,278.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.0
Bid,270.0
Bid Size,200.0
Change Since Close,0.00| |(0.00%)
Closing Price,274.33
Day Change $,8.6
Day Change %,0.032400000000000005
Day High,274.76
Day Low,268.81
Dividend Pay Date,2020-06-25 00:00:00
"EPS (TTM, GAAP)",18.48
Ex-dividend,2020-06-09 00:00:00
Ex-dividend Date,06/09/20
Historical Volatility,0.515
Last (size),1.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,69.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",14.38
Prev Close,265.73
Short Interest,0.0132
Today's Open,270.5
Volume,968962.0
Volume 10-day Avg,1426827.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,0.05110996386164168
Growth 1yr High Est,0.2208525937339496
Growth 1yr Consensus Est,0.13598127879779565
Growth 2yr Low Est,0.08572197603691123
Growth 2yr High Est,0.1752138441955403
Growth 2yr Consensus Est,0.13046791011622577
Growth 5yr Low Est,0.18100874712209708
Growth 5yr High Est,0.20548046391956215
Growth 5yr Consensus Est,0.19324460552082962
Growth 5yr Actual/Est,0.20439766537109805
Growth 3yr Historic,0.13579459803591554
Price/Earnings (TTM),14.38285
Price/Sales (TTM),0.61316
Price/Book (MRQ),2.11306
Price/Cash Flow (TTM),10.9041
5yr Low,114.85
5yr High,317.99
5yr Avg Return,0.12078333333333333
EPS Growth 5yr,0.15577
Revenue Growth 5yr,0.0711925
Dividend Growth 5yr,0.1282943
Short Int Current Month,3318559.0
Short Int Prev Month,3735533.0
Short Int Pct of Float,0.0132265
Days to Cover,1.70044
Float,250.9614
Shares Outstanding,252.1161
Institutions Holding Shares,1473.0
FCF Growth 5yr,0.14436195365813972
"Price/Earnings (TTM, GAAP)",14.38
"PEG Ratio (TTM, GAAP)",0.96
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.063
Net Profit Margin (TTM),0.0437
Annual Dividend Yield,0.0143
Dividend Change %,0.0667
"Dividend Growth Rate, 3 Years",0.0717
EPS Growth (MRQ),0.6402
EPS Growth (TTM),0.2303
Revenue Growth (MRQ),0.08220000000000001
Revenue Growth (TTM),0.1591
Return On Equity (TTM),0.1549
Return On Assets (TTM),0.0609
Return On Investment (TTM),
Revenue Per Employee (TTM),1547620.0
Total Debt/Total Capital (MRQ),0.4062
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),12.07
newConstructs,2
researchTeam,hold
theStreet,buy
cfra,4
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-17 00:00:00
theStreet since,2010-09-20 00:00:00
cfra since,2020-04-30 00:00:00
ford since,2020-01-31 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2017-11-02 00:00:00
