,LH
% Below High,0.1482
% Held by Institutions,0.9319
52-Wk Range,['98.02 - 196.36']
Annual Dividend $,
Annual Dividend %,
Ask,169.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.4
Bid,167.36
Bid Size,100.0
Closing Price,167.26
Day Change $,7.08
Day Change %,0.044199999999999996
Day High,167.42
Day Low,160.6
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.25
Ex-dividend Date,No dividend
Historical Volatility,0.493
Last (size),491.0
Last (time),6:30p ET 05/08/20
Market Cap,16.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",49.3
Prev Close,160.18
Short Interest,0.0146
Today's Open,162.4
Volume,665216.0
Volume 10-day Avg,1391377.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.40142729705619984
Growth 1yr High Est,-0.025686448184233712
Growth 1yr Consensus Est,-0.21355687262021678
Growth 2yr Low Est,-0.05764360381871092
Growth 2yr High Est,0.10124768499879228
Growth 2yr Consensus Est,0.021802040590040678
Growth 5yr Low Est,0.015272165886847433
Growth 5yr High Est,0.09438528315172132
Growth 5yr Consensus Est,0.054828724519284375
Growth 5yr Actual/Est,0.09545160244091722
Growth 3yr Historic,0.04378497428917122
Price/Earnings (TTM),49.2992
Price/Sales (TTM),1.34232
Price/Book (MRQ),2.21556
Price/Cash Flow (TTM),17.15642
5yr Low,97.79
5yr High,196.36
5yr Avg Return,0.07659999999999999
EPS Growth 5yr,0.0714539
Revenue Growth 5yr,0.13960530000000002
Dividend Growth 5yr,
Short Int Current Month,1404295.0
Short Int Prev Month,1538146.0
Short Int Pct of Float,0.014561200000000002
Days to Cover,1.45847
Float,96.45649
Shares Outstanding,97.10333
Institutions Holding Shares,1052.0
FCF Growth 5yr,0.09295479218144787
"Price/Earnings (TTM, GAAP)",49.3
"PEG Ratio (TTM, GAAP)",8.56
Gross Profit Margin (TTM),0.2754
Operating Profit Margin (TTM),0.0703
Net Profit Margin (TTM),0.0278
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-2.4082
EPS Growth (TTM),-0.6426000000000001
Revenue Growth (MRQ),-0.043899999999999995
Revenue Growth (TTM),0.0276
Return On Equity (TTM),0.0454
Return On Assets (TTM),0.0188
Return On Investment (TTM),0.022000000000000002
Revenue Per Employee (TTM),178268.0
Total Debt/Total Capital (MRQ),0.47250000000000003
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),1.07
Interest Coverage (MRQ),5.16
newConstructs,2
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
theStreet,hold
cfra,3
ford,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-03-27 00:00:00
cfra since,2018-08-30 00:00:00
ford since,2020-04-17 00:00:00
creditSuisse since,2015-02-23 00:00:00
