,Industry,LH,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",22.76,49.3,Valuation,2.166080843585237
Price/Sales (TTM),10.65,1.34,Valuation,0.12582159624413145
Price/Book (MRQ),6.03,2.22,Valuation,0.3681592039800995
"PEG Ratio (TTM, GAAP)",62.83,8.56,Valuation,0.13624064937131944
Gross Profit Margin (TTM),0.1463,0.2754,Profitability,1.8824333561175663
Operating Profit Margin (TTM),0.028300000000000002,0.0703,Profitability,2.4840989399293285
Net Profit Margin (TTM),0.0068000000000000005,0.0278,Profitability,4.088235294117647
Annual Dividend Yield,0.0122,,Dividend,
Dividend Change %,0.10099999999999999,,Dividend,
"Dividend Growth Rate, 3 Years",0.10400000000000001,,Dividend,
EPS Growth (MRQ),0.608,-2.4082,Gowth rates,-3.9608552631578946
EPS Growth (TTM),0.0036,-0.6426000000000001,Gowth rates,-178.50000000000003
Revenue Growth (MRQ),0.1227,-0.043899999999999995,Gowth rates,-0.3577832110839445
Revenue Growth (TTM),0.21739999999999998,0.0276,Gowth rates,0.1269549218031279
Return On Equity (TTM),0.1627,0.0454,Effectiveness,0.27904118008604795
Return On Assets (TTM),0.050800000000000005,0.0188,Effectiveness,0.37007874015748027
Return On Investment (TTM),0.016200000000000003,0.022000000000000002,Effectiveness,1.3580246913580245
Revenue Per Employee (TTM),1202685.0,178268.0,Effectiveness,0.1482250131996325
Total Debt/Total Capital (MRQ),0.4826,0.47250000000000003,Financial strength,0.9790716949854954
Change in Debt/Total Capital Quarter over Quarter,0.0022,0.0002,Financial strength,0.09090909090909091
Quick Ratio (MRQ),0.37,1.07,Financial strength,2.891891891891892
Interest Coverage (MRQ),10.31,5.16,Financial strength,0.5004849660523764
