,BSX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",12.2,41.85,Valuation,0.29151732377538825
Price/Sales (TTM),4.8,9.88,Valuation,0.48582995951416996
Price/Book (MRQ),3.75,13.88,Valuation,0.2701729106628242
"PEG Ratio (TTM, GAAP)",1.7,0.58,Valuation,2.931034482758621
Gross Profit Margin (TTM),0.6984,0.6071,Profitability,1.1503870861472576
Operating Profit Margin (TTM),0.1041,-0.0415,Profitability,-2.508433734939759
Net Profit Margin (TTM),0.39740000000000003,-0.045,Profitability,-8.831111111111111
Annual Dividend Yield,,0.0079,Dividend,
Dividend Change %,,0.0582,Dividend,
"Dividend Growth Rate, 3 Years",,0.049,Dividend,
EPS Growth (MRQ),-0.9972,8.9487,Gowth rates,-0.11143518052901538
EPS Growth (TTM),1.449,0.7232,Gowth rates,2.003595132743363
Revenue Growth (MRQ),-0.1243,0.1048,Gowth rates,-1.1860687022900762
Revenue Growth (TTM),0.0853,0.1169,Gowth rates,0.7296834901625321
Return On Equity (TTM),0.3722,0.2389,Effectiveness,1.5579740477187107
Return On Assets (TTM),0.159,0.0707,Effectiveness,2.248939179632249
Return On Investment (TTM),0.1886,0.08630000000000002,Effectiveness,2.185399768250289
Revenue Per Employee (TTM),299583.0,329144.0,Effectiveness,0.9101882458741463
Total Debt/Total Capital (MRQ),0.4282,0.35850000000000004,Financial strength,1.1944211994421199
Change in Debt/Total Capital Quarter over Quarter,-0.0003,0.0015,Financial strength,-0.19999999999999998
Quick Ratio (MRQ),0.8,1.99,Financial strength,0.4020100502512563
Interest Coverage (MRQ),2.96,10.05,Financial strength,0.29452736318407957
