,BSX
% Below High,0.18100000000000002
% Held by Institutions,0.9362
52-Wk Range,['24.10 - 46.62']
Annual Dividend $,
Annual Dividend %,
Ask,38.3
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,37.75
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,38.18
Day Change $,1.18
Day Change %,0.0319
Day High,38.36
Day Low,37.15
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.03
Ex-dividend Date,No dividend
Historical Volatility,0.401
Last (size),1.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,53.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",12.2
Prev Close,37.0
Short Interest,0.0086
Today's Open,37.5
Volume,10191938.0
Volume 10-day Avg,8807547.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,-0.7096774193548387
Growth 1yr High Est,-0.20253164556962033
Growth 1yr Consensus Est,-0.45610453246222954
Growth 2yr Low Est,0.578494623655914
Growth 2yr High Est,0.17254370102471367
Growth 2yr Consensus Est,0.3755191623403138
Growth 5yr Low Est,0.349247311827957
Growth 5yr High Est,0.14729547255960093
Growth 5yr Consensus Est,0.24827139219377897
Growth 5yr Actual/Est,0.15199949221499903
Growth 3yr Historic,0.060374149659863985
Price/Earnings (TTM),12.19609
Price/Sales (TTM),4.80074
Price/Book (MRQ),3.75069
Price/Cash Flow (TTM),9.68499
5yr Low,14.18
5yr High,46.62
5yr Avg Return,0.15838333333333338
EPS Growth 5yr,
Revenue Growth 5yr,0.0778272
Dividend Growth 5yr,
Short Int Current Month,11999305.0
Short Int Prev Month,9860342.0
Short Int Pct of Float,0.008601600000000001
Days to Cover,0.95755
Float,1395.798
Shares Outstanding,1399.35
Institutions Holding Shares,1177.0
FCF Growth 5yr,-1.1595951159935303
"Price/Earnings (TTM, GAAP)",12.2
"PEG Ratio (TTM, GAAP)",1.7
Gross Profit Margin (TTM),0.6984
Operating Profit Margin (TTM),0.1041
Net Profit Margin (TTM),0.39740000000000003
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.9972
EPS Growth (TTM),1.449
Revenue Growth (MRQ),-0.1243
Revenue Growth (TTM),0.0853
Return On Equity (TTM),0.3722
Return On Assets (TTM),0.159
Return On Investment (TTM),0.1886
Revenue Per Employee (TTM),299583.0
Total Debt/Total Capital (MRQ),0.4282
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),0.8
Interest Coverage (MRQ),2.96
newConstructs,4
researchTeam,reduce
theStreet,buy
cfra,5
ford,4
marketEdge opinion,neutralfromavoid
marketEdge,1
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
theStreet since,2018-05-30 00:00:00
cfra since,2020-03-11 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2018-12-17 00:00:00
