,ITW,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",20.37,16.14,Valuation,1.2620817843866172
Price/Sales (TTM),3.62,1.91,Valuation,1.8952879581151834
Price/Book (MRQ),21.83,5.29,Valuation,4.126654064272211
"PEG Ratio (TTM, GAAP)",6.77,8.4,Valuation,0.8059523809523809
Gross Profit Margin (TTM),0.4197,0.34020000000000006,Profitability,1.2336860670194
Operating Profit Margin (TTM),0.2411,0.1399,Profitability,1.7233738384560402
Net Profit Margin (TTM),0.18059999999999998,0.09820000000000001,Profitability,1.8391038696537674
Annual Dividend Yield,0.0273,0.021,Dividend,1.3
Dividend Change %,0.2186,0.10779999999999999,Dividend,2.027829313543599
"Dividend Growth Rate, 3 Years",0.2095,0.0852,Dividend,2.458920187793427
EPS Growth (MRQ),-0.109,1.5424000000000002,Gowth rates,-0.07066908713692945
EPS Growth (TTM),0.0258,0.0192,Gowth rates,1.3437500000000002
Revenue Growth (MRQ),-0.0695,-0.0643,Gowth rates,1.0808709175738727
Revenue Growth (TTM),-0.0543,0.0195,Gowth rates,-2.7846153846153845
Return On Equity (TTM),0.9089,0.2865,Effectiveness,3.172425828970332
Return On Assets (TTM),0.16899999999999998,0.0765,Effectiveness,2.2091503267973853
Return On Investment (TTM),0.2121,0.1033,Effectiveness,2.05324298160697
Revenue Per Employee (TTM),306333.0,385966.0,Effectiveness,0.7936787178145225
Total Debt/Total Capital (MRQ),0.7711,0.547,Financial strength,1.409689213893967
Change in Debt/Total Capital Quarter over Quarter,0.0008,0.0009,Financial strength,0.888888888888889
Quick Ratio (MRQ),2.13,1.45,Financial strength,1.4689655172413794
Interest Coverage (MRQ),14.92,7.34,Financial strength,2.0326975476839237
