,ITW
% Below High,0.1564
% Held by Institutions,0.7829
52-Wk Range,['115.94 - 190.85']
Annual Dividend $,4.28
Annual Dividend %,0.0273
Ask,185.95
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,150.0
Bid Size,100.0
Closing Price,161.01
Day Change $,4.06
Day Change %,0.0259
Day High,161.62
Day Low,159.01
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",7.7
Ex-dividend,2020-03-30 00:00:00
Ex-dividend Date,03/30/20
Historical Volatility,0.41000000000000003
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,51.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",20.37
Prev Close,156.95
Short Interest,0.028399999999999998
Today's Open,159.43
Volume,829932.0
Volume 10-day Avg,1517564.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-24 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.4039735099337748
Growth 1yr High Est,-0.2748387096774193
Growth 1yr Consensus Est,-0.33940610980559704
Growth 2yr Low Est,-0.0853200883002207
Growth 2yr High Est,0.0022603604637814745
Growth 2yr Consensus Est,-0.04152986391821961
Growth 5yr Low Est,-0.0036095081623615244
Growth 5yr High Est,0.0385734884120226
Growth 5yr Consensus Est,0.017481990124830538
Growth 5yr Actual/Est,0.02557580597968967
Growth 3yr Historic,0.042920892899928176
Price/Earnings (TTM),20.3701
Price/Sales (TTM),3.61512
Price/Book (MRQ),21.82846
Price/Cash Flow (TTM),17.53497
5yr Low,78.79
5yr High,190.85
5yr Avg Return,0.12436666666666665
EPS Growth 5yr,0.10634489999999999
Revenue Growth 5yr,-0.0052326
Dividend Growth 5yr,0.1845675
Short Int Current Month,8997006.0
Short Int Prev Month,7729594.0
Short Int Pct of Float,0.0283838
Days to Cover,5.75177
Float,316.8539
Shares Outstanding,317.5175
Institutions Holding Shares,1596.0
FCF Growth 5yr,0.059519681922207246
"Price/Earnings (TTM, GAAP)",20.37
"PEG Ratio (TTM, GAAP)",6.77
Gross Profit Margin (TTM),0.4197
Operating Profit Margin (TTM),0.2411
Net Profit Margin (TTM),0.18059999999999998
Annual Dividend Yield,0.0273
Dividend Change %,0.2186
"Dividend Growth Rate, 3 Years",0.2095
EPS Growth (MRQ),-0.109
EPS Growth (TTM),0.0258
Revenue Growth (MRQ),-0.0695
Revenue Growth (TTM),-0.0543
Return On Equity (TTM),0.9089
Return On Assets (TTM),0.16899999999999998
Return On Investment (TTM),0.2121
Revenue Per Employee (TTM),306333.0
Total Debt/Total Capital (MRQ),0.7711
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),2.13
Interest Coverage (MRQ),14.92
newConstructs,3
researchTeam,reduce
theStreet,buy
cfra,2
creditSuisse,neutral
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,1
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-02-01 00:00:00
theStreet since,2011-04-27 00:00:00
cfra since,2019-02-01 00:00:00
creditSuisse since,2014-05-15 00:00:00
ford since,2020-02-07 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
