,WRK
Price/Earnings (TTM),8.20948
Price/Sales (TTM),0.38434
Price/Book (MRQ),0.60774
Price/Cash Flow (TTM),2.94274
5yr Low,21.5
5yr High,71.55
5yr Avg Return,-0.09418333333333333
EPS Growth 5yr,0.0036793999999999998
Revenue Growth 5yr,0.1307171
Dividend Growth 5yr,0.21058330000000003
Short Int Current Month,5000623.0
Short Int Prev Month,3534865.0
Short Int Pct of Float,0.019659899999999998
Days to Cover,1.77261
Float,255.3002
Shares Outstanding,259.255
Institutions Holding Shares,815.0
% Held by Institutions,0.825751
FCF Growth 5yr,0.11608238021997959
