,D
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.009661835748792313
Growth 1yr High Est,0.051764705882352935
Growth 1yr Consensus Est,0.02105143506678031
Growth 2yr Low Est,0.03175444797926252
Growth 2yr High Est,0.054965126990393576
Growth 2yr Consensus Est,0.04335978748482805
Growth 5yr Low Est,0.05878309850788105
Growth 5yr High Est,0.0690562298200244
Growth 5yr Consensus Est,0.06391966416395273
Growth 5yr Actual/Est,0.06555619814132069
Growth 3yr Historic,0.0429783950617284
