,D
% Below High,0.1374
% Held by Institutions,0.7044
52-Wk Range,['57.79 - 90.89']
Annual Dividend $,3.76
Annual Dividend %,0.0481
Ask,78.75
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.4
Bid,77.5
Bid Size,100.0
Change Since Close,0.04| |(0.05%)
Closing Price,78.4
Day Change $,0.3
Day Change %,0.0038
Day High,78.9
Day Low,77.57
Dividend Pay Date,2020-06-20 00:00:00
"EPS (TTM, GAAP)",2.15
Ex-dividend,2020-06-04 00:00:00
Ex-dividend Date,06/04/20
Historical Volatility,0.42200000000000004
Last (size),29.0
Last (time),6:30p ET 05/08/20
Last Trade,78.44
Market Cap,65.8B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",36.4
Prev Close,78.1
Short Interest,0.014199999999999999
Today's Open,78.72
Volume,3236758.0
Volume 10-day Avg,3175019.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.009661835748792313
Growth 1yr High Est,0.051764705882352935
Growth 1yr Consensus Est,0.02105143506678031
Growth 2yr Low Est,0.03175444797926252
Growth 2yr High Est,0.054965126990393576
Growth 2yr Consensus Est,0.04335978748482805
Growth 5yr Low Est,0.05878309850788105
Growth 5yr High Est,0.0690562298200244
Growth 5yr Consensus Est,0.06391966416395273
Growth 5yr Actual/Est,0.06555619814132069
Growth 3yr Historic,0.0429783950617284
Price/Earnings (TTM),36.40041
Price/Sales (TTM),3.80982
Price/Book (MRQ),2.30946
Price/Cash Flow (TTM),13.53571
5yr Low,57.79
5yr High,90.89
5yr Avg Return,0.021783333333333328
EPS Growth 5yr,-0.0585231
Revenue Growth 5yr,0.05910459999999999
Dividend Growth 5yr,0.08865669999999999
Short Int Current Month,11846852.0
Short Int Prev Month,12118145.0
Short Int Pct of Float,0.014173199999999999
Days to Cover,3.27928
Float,836.8834
Shares Outstanding,839.5257
Institutions Holding Shares,1704.0
FCF Growth 5yr,-0.36201716330560396
"Price/Earnings (TTM, GAAP)",36.4
"PEG Ratio (TTM, GAAP)",7.45
Gross Profit Margin (TTM),0.5061
Operating Profit Margin (TTM),0.2118
Net Profit Margin (TTM),0.1054
Annual Dividend Yield,0.0481
Dividend Change %,0.09880000000000001
"Dividend Growth Rate, 3 Years",0.0944
EPS Growth (MRQ),-1.2663
EPS Growth (TTM),-0.012700000000000001
Revenue Growth (MRQ),0.0047
Revenue Growth (TTM),0.2509
Return On Equity (TTM),0.0634
Return On Assets (TTM),0.0178
Return On Investment (TTM),0.02
Revenue Per Employee (TTM),901047.0
Total Debt/Total Capital (MRQ),0.5481
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),0.47
Interest Coverage (MRQ),2.63
newConstructs,4
researchTeam,reduce
cfra,4
theStreet,buy
creditSuisse,outperform
ford,2
marketEdge opinion,neutralfromlong
marketEdge,-3
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
cfra since,2018-04-28 00:00:00
theStreet since,2019-09-20 00:00:00
creditSuisse since,2019-08-01 00:00:00
ford since,2020-04-17 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
