,2015,2016,2017,2018,2019,2020,Report
high,78.13,83.65,93.55,117.7,121.46,126.73,
low,64.22,62.62,70.49,81.16,90.23,60.0,
change,0.0412,-0.0478,0.2961,-0.0070999999999999995,0.3129,-0.048499999999999995,
Date,,2016-01-29 00:00:00,2017-02-03 00:00:00,2018-02-02 00:00:00,2019-02-01 00:00:00,2020-01-31 00:00:00,Balance Sheet
Cash & Equivalents,,405.0,558.0,588.0,511.0,716.0,Balance Sheet
Short Term Investments,,73.0,19.0,16.0,,,Balance Sheet
Cash and Short Term Invs,,478.0,577.0,604.0,511.0,716.0,Balance Sheet
Total Inventory,,9458.0,10458.0,11393.0,12561.0,13179.0,Balance Sheet
Restricted Cash - Current,,234.0,81.0,86.0,218.0,160.0,Balance Sheet
Other Current Assets,,391.0,884.0,689.0,938.0,1263.0,Balance Sheet
"Other Curr. Assets, Total",,625.0,965.0,775.0,1156.0,1423.0,Balance Sheet
Total Current Assets,,10561.0,12000.0,12772.0,14228.0,15318.0,Balance Sheet
Buildings,,17451.0,18147.0,18521.0,18052.0,17862.0,Balance Sheet
Land/Improvements,,7086.0,7329.0,7414.0,7196.0,7200.0,Balance Sheet
Machinery/Equipment,,10863.0,10978.0,10475.0,10090.0,10377.0,Balance Sheet
Construction in Progress,,513.0,464.0,530.0,525.0,506.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,3891.0,Balance Sheet
Prop./Plant/Equip. - Gross,,35913.0,36918.0,36940.0,35863.0,39836.0,Balance Sheet
Accumulated Depreciation,,-16336.0,-16969.0,-17219.0,-17431.0,-17276.0,Balance Sheet
Prop./Plant/Equip. - Net,,19577.0,19949.0,19721.0,18432.0,22560.0,Balance Sheet
"Goodwill, Net",,,1082.0,1307.0,303.0,303.0,Balance Sheet
Long Term Investments,,20.0,12.0,27.0,,,Balance Sheet
Def. Inc. Tax - LT Asset,,241.0,222.0,168.0,294.0,216.0,Balance Sheet
Restricted Cash - LT,,202.0,354.0,381.0,256.0,372.0,Balance Sheet
Other Long Term Assets,,665.0,789.0,915.0,995.0,702.0,Balance Sheet
Total Assets,,31266.0,34408.0,35291.0,34508.0,39471.0,Balance Sheet
Accounts Payable,,5633.0,6651.0,6590.0,8279.0,7659.0,Balance Sheet
Accrued Expenses,,820.0,790.0,747.0,1717.0,2431.0,Balance Sheet
Notes Payable/ST Debt,,43.0,510.0,1137.0,722.0,1941.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,1061.0,795.0,294.0,1110.0,597.0,Balance Sheet
Customer Advances,,1078.0,1253.0,1378.0,1299.0,1219.0,Balance Sheet
Other Current Liabilities,,1857.0,1975.0,1950.0,1370.0,1335.0,Balance Sheet
"Other Curr. Lblts, Total",,2935.0,3228.0,3328.0,2669.0,2554.0,Balance Sheet
Total Current Liabilities,,10492.0,11974.0,12096.0,14497.0,15182.0,Balance Sheet
Long Term Debt,,11545.0,14394.0,15564.0,14391.0,16156.0,Balance Sheet
Capital Lease Obligations,,,,,,612.0,Balance Sheet
Total Long Term Debt,,11545.0,14394.0,15564.0,14391.0,16768.0,Balance Sheet
Total Debt,,12649.0,15699.0,16995.0,16223.0,19306.0,Balance Sheet
"Other Liabilities, Total",,1575.0,1606.0,1758.0,1976.0,5549.0,Balance Sheet
Total Liabilities,,23612.0,27974.0,29418.0,30864.0,37499.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,0.0,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,455.0,433.0,415.0,401.0,381.0,Balance Sheet
Additional Paid-In Capital,,0.0,0.0,22.0,0.0,0.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,7593.0,6241.0,5425.0,3452.0,1727.0,Balance Sheet
Cum. Trans. Adjustment,,,,,-209.0,-136.0,Balance Sheet
Other Comprehensive Income,,-394.0,-240.0,11.0,,,Balance Sheet
"Other Equity, Total",,-394.0,-240.0,11.0,-209.0,-136.0,Balance Sheet
Total Equity,,7654.0,6434.0,5873.0,3644.0,1972.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,31266.0,34408.0,35291.0,34508.0,39471.0,Balance Sheet
Ttl Comm. Shares Outs.,,910.0,866.0,830.0,801.0,763.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,0.0,0.0,0.0,0.0,0.0,Balance Sheet
Date,,2016-01-29 00:00:00,2017-02-03 00:00:00,2018-02-02 00:00:00,2019-02-01 00:00:00,2020-01-31 00:00:00,Income Statement
Total Revenue,,59074.0,65017.0,68619.0,71309.0,72148.0,Income Statement
"Cost of Revenue, Total",,38504.0,43343.0,46185.0,48401.0,49205.0,Income Statement
Selling/Gen/Admin Expense,,13988.0,14285.0,14345.0,16211.0,15199.0,Income Statement
Labor & Related Expense,,117.0,90.0,99.0,74.0,98.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,14105.0,14375.0,14444.0,16285.0,15297.0,Income Statement
Depreciation/Amortization,,1484.0,1453.0,1404.0,1477.0,1262.0,Income Statement
Restructuring Charge,,,,,58.0,17.0,Income Statement
Impair-Assets Held for Use,,10.0,,,549.0,53.0,Income Statement
Other Unusual Expnse (In),,,0.0,464.0,521.0,0.0,Income Statement
Unusual Expense (Income),,10.0,0.0,464.0,1128.0,70.0,Income Statement
Total Operating Expense,,54103.0,59171.0,62497.0,67291.0,65834.0,Income Statement
Total Operating Income,,4971.0,5846.0,6122.0,4018.0,6314.0,Income Statement
"Inter Expse, Non-Operating",,-547.0,-636.0,-638.0,-640.0,-698.0,Income Statement
"Inter Capital, Non-Operat",,3.0,4.0,5.0,3.0,1.0,Income Statement
"Inter Expse,Net Non-Operat",,-544.0,-632.0,-633.0,-637.0,-697.0,Income Statement
"Inter/Invest Inc, Non-Oper",,4.0,12.0,16.0,28.0,27.0,Income Statement
OtherNon-OperatInc (Expnse),,-12.0,-25.0,-16.0,-15.0,-21.0,Income Statement
"Other, Net",,-12.0,-25.0,-16.0,-15.0,-21.0,Income Statement
Income Before Tax,,4419.0,5201.0,5489.0,3394.0,5623.0,Income Statement
Income Tax - Total,,1873.0,2108.0,2022.0,1078.0,1342.0,Income Statement
Income After Tax,,2546.0,3093.0,3467.0,2316.0,4281.0,Income Statement
Net Inc Before Extra Items,,2546.0,3093.0,3467.0,2316.0,4281.0,Income Statement
Total Extraordinary Items,,,,-20.0,-2.0,,Income Statement
Total Net Income,,2546.0,3093.0,3447.0,2314.0,4281.0,Income Statement
Total Adjust to Net Income,,-12.0,-31.0,-11.0,-7.0,-13.0,Income Statement
Income Available to Common Excl. Extra. Items,,2534.0,3062.0,3456.0,2309.0,4268.0,Income Statement
Income Available to Common Incl. Extra. Items,,2534.0,3062.0,3436.0,2307.0,4268.0,Income Statement
Basic/Primary Weighted Average Shares,,927.0,880.0,839.0,811.0,777.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,2.73,3.48,4.12,2.85,5.49,Income Statement
Basic/Primary EPS Incl. Extra. Items,,2.73,3.48,4.1,2.84,5.49,Income Statement
Diluted Weighted Average Shares,,929.0,881.0,840.0,812.0,778.0,Income Statement
Diluted EPS Excl. Extra. Items,,2.73,3.48,4.11,2.84,5.49,Income Statement
Diluted EPS Incl. Extra. Items,,2.73,3.48,4.09,2.84,5.49,Income Statement
Div/Share-ComStockPrimIssue,,1.02,1.26,1.52,1.78,2.06,Income Statement
Gross Divid - Common Stock,,991.0,1169.0,1324.0,1500.0,1653.0,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",,547.0,636.0,638.0,640.0,698.0,Income Statement
"Interest Capitalized, Suppl",,-3.0,-4.0,-5.0,-3.0,-1.0,Income Statement
"Depreciat/Amort, Suppl",,1587.0,1590.0,1540.0,1607.0,1410.0,Income Statement
Total Special Items,,10.0,0.0,464.0,1128.0,70.0,Income Statement
Normalzd Income Before Tax,,4429.0,5201.0,5953.0,4522.0,5693.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,4.0,0.0,171.0,358.0,17.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,1877.0,2108.0,2193.0,1436.0,1359.0,Income Statement
Normalized Income After Tax,,2552.0,3093.0,3760.0,3086.0,4334.0,Income Statement
Normalzd Inc Avail to Common,,2540.0,3062.0,3749.0,3079.0,4321.0,Income Statement
Basic Normalized EPS,,2.74,3.48,4.47,3.8,5.56,Income Statement
Diluted Normalized EPS,,2.73,3.48,4.46,3.79,5.55,Income Statement
Date,,2016-01-29 00:00:00,2017-02-03 00:00:00,2018-02-02 00:00:00,2019-02-01 00:00:00,2020-01-31 00:00:00,Cash Flow
Net Income,,2546.0,3093.0,3447.0,2314.0,4281.0,Cash Flow
Depreciation/Depletion,,1587.0,1590.0,1540.0,1607.0,1410.0,Cash Flow
Deferred Taxes,,-68.0,28.0,53.0,-151.0,177.0,Cash Flow
Unusual Items,,33.0,143.0,504.0,1582.0,117.0,Cash Flow
Equity in Net Earnings/Loss,,591.0,302.0,-82.0,9.0,12.0,Cash Flow
Other Non-Cash Items,,117.0,90.0,99.0,74.0,566.0,Cash Flow
Non-Cash Items,,741.0,535.0,521.0,1665.0,695.0,Cash Flow
"Cash Taxes Pd, Supplemental",,2055.0,2217.0,1673.0,1316.0,1423.0,Cash Flow
"Cash Interest Pd, Suppl",,535.0,619.0,654.0,635.0,671.0,Cash Flow
Inventories,,-582.0,-178.0,-791.0,-1289.0,-600.0,Cash Flow
Other Assets,,-34.0,-183.0,250.0,-110.0,-376.0,Cash Flow
Accounts Payable,,524.0,653.0,-92.0,1720.0,-637.0,Cash Flow
Changes in Working Capital,,-22.0,371.0,-496.0,758.0,-2255.0,Cash Flow
Total Cash from Operations,,4784.0,5617.0,5065.0,6193.0,4308.0,Cash Flow
Capital Expenditures,,-1197.0,-1167.0,-1123.0,-1174.0,-1484.0,Cash Flow
Acquisition of Business,,,-2356.0,-509.0,,,Cash Flow
Sale of Business,,0.0,,,0.0,0.0,Cash Flow
Sale of Fixed Assets,,57.0,37.0,45.0,76.0,163.0,Cash Flow
Sale/Maturity of Investment,,759.0,1254.0,1114.0,1393.0,695.0,Cash Flow
"Investment, Net",,,76.0,0.0,0.0,,Cash Flow
Purchase of Investments,,-934.0,-1192.0,-981.0,-1373.0,-743.0,Cash Flow
Other Investing Cash Flow,,-28.0,-13.0,13.0,-2.0,0.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,-146.0,-2194.0,-318.0,94.0,115.0,Cash Flow
Total Cash from Investing,,-1343.0,-3361.0,-1441.0,-1080.0,-1369.0,Cash Flow
Financing Cash Flow Items,,55.0,-75.0,-10.0,-5.0,-1.0,Cash Flow
Total Cash Dividends Paid,,-957.0,-1121.0,-1288.0,-1455.0,-1618.0,Cash Flow
Sale/Issuance of Common,,125.0,139.0,139.0,114.0,118.0,Cash Flow
Repurch/Retirement Common,,-3925.0,-3595.0,-3192.0,-3037.0,-4313.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,-3800.0,-3456.0,-3053.0,-2923.0,-4195.0,Cash Flow
"Short Term Debt, Net",,43.0,466.0,625.0,-415.0,220.0,Cash Flow
Long Term Debt Issued,,1718.0,3267.0,2968.0,0.0,3972.0,Cash Flow
Long Term Debt Reduction,,-552.0,-1173.0,-2849.0,-326.0,-1113.0,Cash Flow
"Long Term Debt, Net",,1166.0,2094.0,119.0,-326.0,2859.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,1209.0,2560.0,744.0,-741.0,3079.0,Cash Flow
Total Cash From Financing,,-3493.0,-2092.0,-3607.0,-5124.0,-2735.0,Cash Flow
Foreign Exchange Effects,,-9.0,-11.0,13.0,-12.0,1.0,Cash Flow
Net Change in Cash,,-61.0,153.0,30.0,-23.0,205.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,466.0,405.0,558.0,588.0,511.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,405.0,558.0,588.0,565.0,716.0,Cash Flow
"Depreciation, Supplemental",,1587.0,1590.0,1540.0,1607.0,1410.0,Cash Flow
Free Cash Flow,,3587.0,4450.0,3942.0,5019.0,2824.0,
FCF Growth,,,0.2405910231391135,-0.11415730337078656,0.27321156773211563,-0.43733811516238297,
