,LOW
% Below High,0.0986
% Held by Institutions,0.745
52-Wk Range,['60.00 - 126.73']
Annual Dividend $,2.2
Annual Dividend %,0.0197
Ask,114.8
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,1.3
Bid,114.54
Bid Size,100.0
Closing Price,114.23
Day Change $,2.31
Day Change %,0.0206
Day High,114.63
Day Low,112.1
Dividend Pay Date,2020-05-06 00:00:00
"EPS (TTM, GAAP)",5.47
Ex-dividend,2020-04-21 00:00:00
Ex-dividend Date,04/21/20
Historical Volatility,0.521
Last (size),11.0
Last (time),6:30p ET 05/08/20
Market Cap,86.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.46
Prev Close,111.92
Short Interest,0.011899999999999999
Today's Open,113.77
Volume,3951912.0
Volume 10-day Avg,4645680.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-05-20 00:00:00
Growth Analysts,30.0
Growth 1yr Low Est,-0.17553191489361686
Growth 1yr High Est,0.13893653516295013
Growth 1yr Consensus Est,-0.018297689865333366
Growth 2yr Low Est,-0.04583047357584075
Growth 2yr High Est,0.16585380975014974
Growth 2yr Consensus Est,0.060011668087154496
Growth 5yr Low Est,0.03937317668980875
Growth 5yr High Est,0.1470470386667686
Growth 5yr Consensus Est,0.09321010767828868
Growth 5yr Actual/Est,0.12016689281738002
Growth 3yr Historic,0.07229554692036266
Price/Earnings (TTM),20.45632
Price/Sales (TTM),1.17112
Price/Book (MRQ),43.30373
Price/Cash Flow (TTM),14.84693
5yr Low,60.0
5yr High,126.73
5yr Avg Return,0.09113333333333333
EPS Growth 5yr,0.15155390000000002
Revenue Growth 5yr,0.0511436
Dividend Growth 5yr,0.20229399999999997
Short Int Current Month,8932382.0
Short Int Prev Month,10498864.0
Short Int Pct of Float,0.0118516
Days to Cover,1.42936
Float,753.6122
Shares Outstanding,754.9487
Institutions Holding Shares,2029.0
FCF Growth 5yr,-0.009423206915485094
"Price/Earnings (TTM, GAAP)",20.46
"PEG Ratio (TTM, GAAP)",1.25
Gross Profit Margin (TTM),0.318
Operating Profit Margin (TTM),0.08750000000000001
Net Profit Margin (TTM),0.0593
Annual Dividend Yield,0.0197
Dividend Change %,0.1573
"Dividend Growth Rate, 3 Years",0.17809999999999998
EPS Growth (MRQ),-0.5099
EPS Growth (TTM),0.948
Revenue Growth (MRQ),-0.07830000000000001
Revenue Growth (TTM),0.0118
Return On Equity (TTM),1.5196
Return On Assets (TTM),0.11570000000000001
Return On Investment (TTM),0.1933
Revenue Per Employee (TTM),360740.0
Total Debt/Total Capital (MRQ),0.9073000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),0.14
Interest Coverage (MRQ),-0.87
newConstructs,2
researchTeam,hold
marketEdge opinion,long
marketEdge,0
theStreet,hold
cfra,4
ford,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-04-02 00:00:00
cfra since,2020-03-12 00:00:00
ford since,2020-02-28 00:00:00
creditSuisse since,2019-11-06 00:00:00
