,L
% Above Low,0.0877
% Held by Institutions,0.6728000000000001
52-Wk Range,['28.52 - 56.88']
Annual Dividend $,0.25
Annual Dividend %,0.008199999999999999
Ask,32.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.8
Bid,30.75
Bid Size,100.0
Closing Price,31.02
Day Change $,0.68
Day Change %,0.022400000000000003
Day High,31.34
Day Low,30.36
Dividend Pay Date,2020-03-10 00:00:00
"EPS (TTM, GAAP)",-0.41
Ex-dividend,2020-02-25 00:00:00
Ex-dividend Date,02/25/20
Historical Volatility,0.509
Last (size),2.0
Last (time),6:30p ET 05/08/20
Market Cap,8.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,30.34
Short Interest,0.015300000000000001
Today's Open,30.99
Volume,920919.0
Volume 10-day Avg,1695244.0
Volume Past Day,(Light)
Price/Earnings (TTM),
Price/Sales (TTM),0.59316
Price/Book (MRQ),0.50328
Price/Cash Flow (TTM),
5yr Low,28.52
5yr High,56.88
5yr Avg Return,-0.017333333333333326
EPS Growth 5yr,0.040871700000000004
Revenue Growth 5yr,0.0078335
Dividend Growth 5yr,0.0
Short Int Current Month,3676912.0
Short Int Prev Month,3392517.0
Short Int Pct of Float,0.0153288
Days to Cover,3.27385
Float,238.5468
Shares Outstanding,281.4305
Institutions Holding Shares,664.0
FCF Growth 5yr,0.12628365842476058
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.0058
Net Profit Margin (TTM),-0.0395
Annual Dividend Yield,0.008199999999999999
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-4.0055000000000005
EPS Growth (TTM),-1.1766
Revenue Growth (MRQ),-0.1788
Revenue Growth (TTM),0.0087
Return On Equity (TTM),-0.005200000000000001
Return On Assets (TTM),-0.0070999999999999995
Return On Investment (TTM),
Revenue Per Employee (TTM),773717.0
Total Debt/Total Capital (MRQ),0.38430000000000003
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),1.62
newConstructs,4
researchTeam,reduce
marketEdge opinion,avoid
marketEdge,0
cfra,3
theStreet,sell
ford,1
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-02 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2019-07-24 00:00:00
theStreet since,2020-05-05 00:00:00
ford since,2020-02-28 00:00:00
creditSuisse since,
