,EA
Price/Earnings (TTM),11.39954
Price/Sales (TTM),6.11052
Price/Book (MRQ),4.53478
Price/Cash Flow (TTM),10.59961
5yr Low,53.01
5yr High,151.26
5yr Avg Return,0.13664999999999997
EPS Growth 5yr,0.3078462
Revenue Growth 5yr,0.0416537
Dividend Growth 5yr,
Short Int Current Month,6455831.0
Short Int Prev Month,5662641.0
Short Int Pct of Float,0.0223994
Days to Cover,1.90842
Float,288.2392
Shares Outstanding,289.6743
Institutions Holding Shares,1253.0
% Held by Institutions,0.932839
FCF Growth 5yr,0.0924623423689123
