,EA
% Below High,0.0297
% Held by Institutions,0.9328
52-Wk Range,['85.69 - 120.19']
Annual Dividend $,
Annual Dividend %,
Ask,117.06
Ask Size,200.0
B/A Ratio,3.0
B/A Size,600x200
Beta,0.9
Bid,116.71
Bid Size,600.0
Closing Price,116.62
Day Change $,-0.18
Day Change %,-0.0015
Day High,117.52
Day Low,115.58
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",10.25
Ex-dividend Date,No dividend
Historical Volatility,0.359
Last (size),10.0
Last (time),3:59p ET 05/08/20
Market Cap,33.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.4
Prev Close,116.8
Short Interest,0.022400000000000003
Today's Open,116.25
Volume,3599068.0
Volume 10-day Avg,3648914.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,33.0
Growth 1yr Low Est,0.07317073170731736
Growth 1yr High Est,0.12603305785123964
Growth 1yr Consensus Est,0.0996018947792785
Growth 2yr Low Est,0.1036308203991132
Growth 2yr High Est,0.18778717112745458
Growth 2yr Consensus Est,0.1457089957632839
Growth 5yr Low Est,0.04528334369124304
Growth 5yr High Est,0.12398617815631985
Growth 5yr Consensus Est,0.08463476092378144
Growth 5yr Actual/Est,0.06741237223210653
Growth 3yr Historic,0.023325791855203587
Price/Earnings (TTM),11.39954
Price/Sales (TTM),6.11052
Price/Book (MRQ),4.53478
Price/Cash Flow (TTM),10.59961
5yr Low,53.01
5yr High,151.26
5yr Avg Return,0.13664999999999997
EPS Growth 5yr,0.3078462
Revenue Growth 5yr,0.0416537
Dividend Growth 5yr,
Short Int Current Month,6455831.0
Short Int Prev Month,5662641.0
Short Int Pct of Float,0.0223994
Days to Cover,1.90842
Float,288.2392
Shares Outstanding,289.6743
Institutions Holding Shares,1253.0
FCF Growth 5yr,0.0924623423689123
"Price/Earnings (TTM, GAAP)",11.4
"PEG Ratio (TTM, GAAP)",0.92
Gross Profit Margin (TTM),0.7528
Operating Profit Margin (TTM),0.261
Net Profit Margin (TTM),0.5489
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2164
EPS Growth (TTM),2.0793
Revenue Growth (MRQ),-0.1293
Revenue Growth (TTM),0.1186
Return On Equity (TTM),0.47509999999999997
Return On Assets (TTM),0.3029
Return On Investment (TTM),0.40149999999999997
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.1178
Change in Debt/Total Capital Quarter over Quarter,-0.0019
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,3
researchTeam,hold
cfra,5
theStreet,buy
creditSuisse,outperform
ford,3
marketEdge opinion,long
marketEdge,0
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
cfra since,2020-03-25 00:00:00
theStreet since,2019-07-31 00:00:00
creditSuisse since,2014-01-14 00:00:00
ford since,2020-01-31 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
