,VRTX
% Below High,0.0222
% Held by Institutions,0.9623999999999999
52-Wk Range,['164.07 - 277.80']
Annual Dividend $,
Annual Dividend %,
Ask,272.69
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,270.0
Bid Size,100.0
Closing Price,271.63
Day Change $,1.62
Day Change %,0.006
Day High,274.41
Day Low,268.29
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.76
Ex-dividend Date,No dividend
Historical Volatility,0.383
Last (size),36.0
Last (time),4:15p ET 05/08/20
Market Cap,70.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",47.14
Prev Close,270.01
Short Interest,0.0132
Today's Open,269.5
Volume,1084271.0
Volume 10-day Avg,2006846.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,3.0946745562130182
Growth 1yr High Est,4.5291479820627805
Growth 1yr Consensus Est,3.8119112691378993
Growth 2yr Low Est,1.657886411054486
Growth 2yr High Est,2.357842441964075
Growth 2yr Consensus Est,2.0078644265092804
Growth 5yr Low Est,0.828943205527243
Growth 5yr High Est,1.1789212209820374
Growth 5yr Consensus Est,1.0039322132546402
Growth 5yr Actual/Est,0.5736508708553323
Growth 3yr Historic,0.34967006033182507
Price/Earnings (TTM),47.13924
Price/Sales (TTM),14.61302
Price/Book (MRQ),10.89096
Price/Cash Flow (TTM),43.5394
5yr Low,71.46
5yr High,277.8
5yr Avg Return,0.21396666666666664
EPS Growth 5yr,
Revenue Growth 5yr,0.4829613
Dividend Growth 5yr,
Short Int Current Month,3416411.0
Short Int Prev Month,4016436.0
Short Int Pct of Float,0.0131952
Days to Cover,1.57305
Float,258.8202
Shares Outstanding,259.2767
Institutions Holding Shares,1165.0
FCF Growth 5yr,0.42262860444673755
"Price/Earnings (TTM, GAAP)",47.14
"PEG Ratio (TTM, GAAP)",1.97
Gross Profit Margin (TTM),0.8724
Operating Profit Margin (TTM),0.34049999999999997
Net Profit Margin (TTM),0.3135
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0281
EPS Growth (TTM),1.5198
Revenue Growth (MRQ),0.0721
Revenue Growth (TTM),0.47600000000000003
Return On Equity (TTM),0.2702
Return On Assets (TTM),0.19579999999999997
Return On Investment (TTM),0.23620000000000002
Revenue Per Employee (TTM),1606498.0
Total Debt/Total Capital (MRQ),0.0762
Change in Debt/Total Capital Quarter over Quarter,-0.0034000000000000002
Quick Ratio (MRQ),3.42
Interest Coverage (MRQ),
newConstructs,3
researchTeam,accumulate
marketEdge opinion,long
marketEdge,-1
theStreet,buy
cfra,4
ford,1
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2018-03-05 00:00:00
cfra since,2019-10-10 00:00:00
ford since,2020-05-01 00:00:00
creditSuisse since,2019-05-20 00:00:00
