,Industry,Type,VRTX,Ratio to Industry
"Price/Earnings (TTM, GAAP)",463.53,Valuation,47.14,0.10169784048497402
Price/Sales (TTM),338.54,Valuation,14.61,0.04315590476753116
Price/Book (MRQ),8.5,Valuation,10.89,1.2811764705882354
"PEG Ratio (TTM, GAAP)",4.41,Valuation,1.97,0.44671201814058953
Gross Profit Margin (TTM),0.672,Profitability,0.8724,1.2982142857142855
Operating Profit Margin (TTM),-4.5996,Profitability,0.34049999999999997,-0.07402817636316202
Net Profit Margin (TTM),-4.6722,Profitability,0.3135,-0.06709901117246693
Annual Dividend Yield,0.013999999999999999,Dividend,,
Dividend Change %,0.04730000000000001,Dividend,,
"Dividend Growth Rate, 3 Years",0.0575,Dividend,,
EPS Growth (MRQ),-0.6785,Gowth rates,0.0281,-0.041414885777450255
EPS Growth (TTM),1.05,Gowth rates,1.5198,1.4474285714285715
Revenue Growth (MRQ),0.6981,Gowth rates,0.0721,0.10328033233061165
Revenue Growth (TTM),1.334,Gowth rates,0.47600000000000003,0.3568215892053973
Return On Equity (TTM),-0.0909,Effectiveness,0.2702,-2.9724972497249724
Return On Assets (TTM),-0.05280000000000001,Effectiveness,0.19579999999999997,-3.7083333333333326
Return On Investment (TTM),-0.051500000000000004,Effectiveness,0.23620000000000002,-4.586407766990291
Revenue Per Employee (TTM),965817.0,Effectiveness,1606498.0,1.663356515778869
Total Debt/Total Capital (MRQ),0.386,Financial strength,0.0762,0.19740932642487047
Change in Debt/Total Capital Quarter over Quarter,0.0048,Financial strength,-0.0034000000000000002,-0.7083333333333335
Quick Ratio (MRQ),2.74,Financial strength,3.42,1.2481751824817517
Interest Coverage (MRQ),-1.78,Financial strength,,
