,AFL
% Above Low,0.5717
% Held by Institutions,0.6131
52-Wk Range,['23.07 - 57.18']
Annual Dividend $,1.12
Annual Dividend %,0.031200000000000002
Ask,36.61
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,0.9
Bid,36.13
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,36.26
Day Change $,0.39
Day Change %,0.0109
Day High,36.87
Day Low,35.46
Dividend Pay Date,2020-06-01 00:00:00
"EPS (TTM, GAAP)",3.97
Ex-dividend,2020-05-19 00:00:00
Ex-dividend Date,05/19/20
Historical Volatility,0.519
Last (size),8400.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,26.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.03
Prev Close,35.87
Short Interest,0.015600000000000001
Today's Open,36.65
Volume,2570670.0
Volume 10-day Avg,3524024.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.0547945205479452
Growth 1yr High Est,0.0
Growth 1yr Consensus Est,-0.0273972602739726
Growth 2yr Low Est,-0.018943153993779327
Growth 2yr High Est,0.022471910112359605
Growth 2yr Consensus Est,0.0017643780592901392
Growth 5yr Low Est,-0.08798180364144467
Growth 5yr High Est,-0.06749160863513648
Growth 5yr Consensus Est,-0.07773670613829058
Growth 5yr Actual/Est,0.06868676952468675
Growth 3yr Historic,0.06740495775900401
Price/Earnings (TTM),9.02899
Price/Sales (TTM),1.17833
Price/Book (MRQ),0.976
Price/Cash Flow (TTM),
5yr Low,23.07
5yr High,57.18
5yr Avg Return,0.04538333333333333
EPS Growth 5yr,0.063735
Revenue Growth 5yr,-0.0037273000000000002
Dividend Growth 5yr,0.07565380000000001
Short Int Current Month,10288873.0
Short Int Prev Month,10918796.0
Short Int Pct of Float,0.015577399999999998
Days to Cover,2.43466
Float,655.8115
Shares Outstanding,717.5079
Institutions Holding Shares,1321.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",9.03
"PEG Ratio (TTM, GAAP)",4.8
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.18989999999999999
Net Profit Margin (TTM),0.13460000000000003
Annual Dividend Yield,0.031200000000000002
Dividend Change %,0.0385
"Dividend Growth Rate, 3 Years",0.0917
EPS Growth (MRQ),-0.2655
EPS Growth (TTM),-0.031400000000000004
Revenue Growth (MRQ),-0.0803
Revenue Growth (TTM),-0.0083
Return On Equity (TTM),0.1121
Return On Assets (TTM),0.0198
Return On Investment (TTM),
Revenue Per Employee (TTM),1989797.0
Total Debt/Total Capital (MRQ),0.2002
Change in Debt/Total Capital Quarter over Quarter,0.001
Quick Ratio (MRQ),
Interest Coverage (MRQ),20.15
newConstructs,3
researchTeam,hold
cfra,3
theStreet,hold
ford,2
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
cfra since,2018-10-23 00:00:00
theStreet since,2020-03-23 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2018-04-24 00:00:00
