,Industry,QCOM,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",23.87,23.91,Valuation,1.0016757436112274
Price/Sales (TTM),6.79,4.52,Valuation,0.6656848306332842
Price/Book (MRQ),9.59,29.82,Valuation,3.1094890510948905
"PEG Ratio (TTM, GAAP)",0.45,0.93,Valuation,2.066666666666667
Gross Profit Margin (TTM),0.5476,0.5736,Profitability,1.0474799123447773
Operating Profit Margin (TTM),0.22649999999999998,0.3774,Profitability,1.6662251655629141
Net Profit Margin (TTM),0.1979,0.20199999999999999,Profitability,1.0207175341081354
Annual Dividend Yield,0.0176,0.0323,Dividend,1.8352272727272727
Dividend Change %,0.18359999999999999,0.0206,Dividend,0.1122004357298475
"Dividend Growth Rate, 3 Years",0.1543,0.0708,Dividend,0.4588464031108231
EPS Growth (MRQ),1.0316,-0.4905,Gowth rates,-0.47547499030632023
EPS Growth (TTM),0.5253,0.8858,Gowth rates,1.6862745098039216
Revenue Growth (MRQ),0.1457,0.027400000000000004,Gowth rates,0.18805765271105013
Revenue Growth (TTM),0.0076,-0.053700000000000005,Gowth rates,-7.0657894736842115
Return On Equity (TTM),0.31920000000000004,1.1715,Effectiveness,3.6701127819548867
Return On Assets (TTM),0.1319,0.1227,Effectiveness,0.9302501895375286
Return On Investment (TTM),0.1574,0.1773,Effectiveness,1.1264294790343075
Revenue Per Employee (TTM),628519.0,541676.0,Effectiveness,0.8618291571137865
Total Debt/Total Capital (MRQ),0.3632,0.8397,Financial strength,2.3119493392070485
Change in Debt/Total Capital Quarter over Quarter,0.0,0.0004,Financial strength,inf
Quick Ratio (MRQ),2.74,1.39,Financial strength,0.5072992700729926
Interest Coverage (MRQ),17.53,17.7,Financial strength,1.0096976611523103
