,QCOM
% Below High,0.1623
% Held by Institutions,0.7724
52-Wk Range,['58.00 - 96.17']
Annual Dividend $,2.6
Annual Dividend %,0.033
Ask,80.66
Ask Size,1500.0
B/A Ratio,0.6
B/A Size,900x1500
Beta,1.4
Bid,80.6
Bid Size,900.0
Closing Price,80.56
Day Change $,1.73
Day Change %,0.0219
Day High,81.09
Day Low,79.36
Dividend Pay Date,2020-06-25 00:00:00
"EPS (TTM, GAAP)",3.37
Ex-dividend,2020-06-03 00:00:00
Ex-dividend Date,06/03/20
Historical Volatility,0.48200000000000004
Last (size),50.0
Last (time),4:15p ET 05/08/20
Market Cap,90.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",23.91
Prev Close,78.83
Short Interest,0.0132
Today's Open,79.7
Volume,7892235.0
Volume 10-day Avg,8769159.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,0.01764705882352935
Growth 1yr High Est,0.1331444759206799
Growth 1yr Consensus Est,0.07539576737210463
Growth 2yr Low Est,0.20969058143488606
Growth 2yr High Est,0.38407223796033996
Growth 2yr Consensus Est,0.296881409697613
Growth 5yr Low Est,0.05821129711591824
Growth 5yr High Est,0.15136307501822674
Growth 5yr Consensus Est,0.10478718606707249
Growth 5yr Actual/Est,0.10653908144466723
Growth 3yr Historic,-0.04462521844844619
Price/Earnings (TTM),23.90994
Price/Sales (TTM),4.52171
Price/Book (MRQ),29.81646
Price/Cash Flow (TTM),16.65274
5yr Low,42.24
5yr High,96.17
5yr Avg Return,0.06205000000000001
EPS Growth 5yr,-0.0395637
Revenue Growth 5yr,-0.0587068
Dividend Growth 5yr,0.0999836
Short Int Current Month,15018787.0
Short Int Prev Month,14273490.0
Short Int Pct of Float,0.0131541
Days to Cover,1.40602
Float,1123.625
Shares Outstanding,1124.928
Institutions Holding Shares,2082.0
FCF Growth 5yr,0.1905611563595582
"Price/Earnings (TTM, GAAP)",23.91
"PEG Ratio (TTM, GAAP)",0.93
Gross Profit Margin (TTM),0.5736
Operating Profit Margin (TTM),0.3774
Net Profit Margin (TTM),0.20199999999999999
Annual Dividend Yield,0.0323
Dividend Change %,0.0206
"Dividend Growth Rate, 3 Years",0.0708
EPS Growth (MRQ),-0.4905
EPS Growth (TTM),0.8858
Revenue Growth (MRQ),0.027400000000000004
Revenue Growth (TTM),-0.053700000000000005
Return On Equity (TTM),1.1715
Return On Assets (TTM),0.1227
Return On Investment (TTM),0.1773
Revenue Per Employee (TTM),541676.0
Total Debt/Total Capital (MRQ),0.8397
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),1.39
Interest Coverage (MRQ),17.7
newConstructs,1
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,3
theStreet,buy
cfra,4
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2019-08-02 00:00:00
cfra since,2019-04-17 00:00:00
ford since,2020-03-06 00:00:00
creditSuisse since,
