,MAR
% Above Low,0.8721
% Held by Institutions,0.6306
52-Wk Range,['46.56 - 153.39']
Annual Dividend $,
Annual Dividend %,
Ask,86.95
Ask Size,800.0
B/A Ratio,0.875
B/A Size,700x800
Beta,1.6
Bid,86.85
Bid Size,700.0
Closing Price,87.17
Day Change $,1.19
Day Change %,0.0138
Day High,88.5
Day Low,85.65
Dividend Pay Date,03/31/20
"EPS (TTM, GAAP)",3.8
Ex-dividend Date,02/27/20
Historical Volatility,0.537
Last (size),2.0
Last (time),3:59p ET 05/08/20
Market Cap,28.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",22.65
Prev Close,85.98
Short Interest,0.051
Today's Open,88.08
Volume,4269552.0
Volume 10-day Avg,4455110.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-05-11 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,-1.0170068027210883
Growth 1yr High Est,-0.38215488215488225
Growth 1yr Consensus Est,-0.6995808424379852
Growth 2yr Low Est,-13.008503401360542
Growth 2yr High Est,0.27622501123863513
Growth 2yr Consensus Est,-6.366139195060954
Growth 5yr Low Est,-6.3833544893618805
Growth 5yr High Est,0.23332092205330238
Growth 5yr Consensus Est,-3.075016783654289
Growth 5yr Actual/Est,0.2750277215250291
Growth 3yr Historic,0.09762387537118286
Price/Earnings (TTM),22.6535
Price/Sales (TTM),1.32923
Price/Book (MRQ),39.62663
Price/Cash Flow (TTM),16.63278
5yr Low,46.56
5yr High,153.39
5yr Avg Return,0.08535
EPS Growth 5yr,0.084153
Revenue Growth 5yr,0.08737
Dividend Growth 5yr,
Short Int Current Month,13674324.0
Short Int Prev Month,12727325.0
Short Int Pct of Float,0.0509734
Days to Cover,1.71183
Float,268.4185
Shares Outstanding,324.2212
Institutions Holding Shares,1090.0
FCF Growth 5yr,0.01045120607404475
"Price/Earnings (TTM, GAAP)",22.65
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1534
Operating Profit Margin (TTM),0.0858
Net Profit Margin (TTM),0.060700000000000004
Annual Dividend Yield,
Dividend Change %,0.1859
"Dividend Growth Rate, 3 Years",0.17170000000000002
EPS Growth (MRQ),-0.2715
EPS Growth (TTM),-0.30770000000000003
Revenue Growth (MRQ),0.0165
Revenue Growth (TTM),0.006999999999999999
Return On Equity (TTM),0.8695
Return On Assets (TTM),0.052199999999999996
Return On Investment (TTM),0.07150000000000001
Revenue Per Employee (TTM),120529.0
Total Debt/Total Capital (MRQ),0.9396
Change in Debt/Total Capital Quarter over Quarter,0.0011
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,3
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
theStreet,hold
cfra,3
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-03-26 00:00:00
cfra since,2018-11-06 00:00:00
ford since,2018-09-14 00:00:00
creditSuisse since,
