,Industry,NUE,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",40.19,,Valuation,
Price/Sales (TTM),1164.2,,Valuation,
Price/Book (MRQ),2.07,1.25,Valuation,0.6038647342995169
"PEG Ratio (TTM, GAAP)",0.09,,Valuation,
Gross Profit Margin (TTM),0.3361,,Profitability,
Operating Profit Margin (TTM),-1.345,,Profitability,
Net Profit Margin (TTM),-1.6574000000000002,,Profitability,
Annual Dividend Yield,0.0217,0.0382,Dividend,1.76036866359447
Dividend Change %,0.0897,0.0526,Dividend,0.5863991081382386
"Dividend Growth Rate, 3 Years",0.4288,0.0217,Dividend,0.050606343283582086
EPS Growth (MRQ),0.8344,,Gowth rates,
EPS Growth (TTM),4.2878,,Gowth rates,
Revenue Growth (MRQ),0.1432,,Gowth rates,
Revenue Growth (TTM),0.33530000000000004,,Gowth rates,
Return On Equity (TTM),0.1378,,Effectiveness,
Return On Assets (TTM),0.152,,Effectiveness,
Return On Investment (TTM),0.0734,,Effectiveness,
Revenue Per Employee (TTM),1778195.0,,Effectiveness,
Total Debt/Total Capital (MRQ),0.3173,0.2899,Financial strength,0.9136463914276709
Change in Debt/Total Capital Quarter over Quarter,-0.0008,0.0,Financial strength,-0.0
Quick Ratio (MRQ),2.2,1.79,Financial strength,0.8136363636363636
Interest Coverage (MRQ),5.95,,Financial strength,
