,NUE
% Above Low,0.5332
% Held by Institutions,0.7851
52-Wk Range,['27.53 - 58.70']
Annual Dividend $,1.61
Annual Dividend %,0.0394
Ask,42.99
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.5
Bid,41.69
Bid Size,500.0
Closing Price,42.2
Day Change $,1.29
Day Change %,0.0315
Day High,42.27
Day Low,41.48
Dividend Pay Date,2020-05-11 00:00:00
"EPS (TTM, GAAP)",
Ex-dividend,2020-03-30 00:00:00
Ex-dividend Date,03/30/20
Historical Volatility,0.446
Last (size),500.0
Last (time),6:30p ET 05/08/20
Market Cap,12.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,40.91
Short Interest,0.015600000000000001
Today's Open,41.51
Volume,1615125.0
Volume 10-day Avg,2862864.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-16 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.8529411764705882
Growth 1yr High Est,-0.738562091503268
Growth 1yr Consensus Est,-0.7957516339869282
Growth 2yr Low Est,-0.31283422459893045
Growth 2yr High Est,0.14321895424836595
Growth 2yr Consensus Est,-0.08480763517528225
Growth 5yr Low Est,0.13718753886332555
Growth 5yr High Est,0.3248989508083936
Growth 5yr Consensus Est,0.23104324483585956
Growth 5yr Actual/Est,0.22037423846823323
Growth 3yr Historic,0.17512213762789708
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),1.21155
Price/Cash Flow (TTM),
5yr Low,27.53
5yr High,70.48
5yr Avg Return,0.0073333333333333375
EPS Growth 5yr,0.1436639
Revenue Growth 5yr,0.0136808
Dividend Growth 5yr,0.0157145
Short Int Current Month,4661214.0
Short Int Prev Month,4842982.0
Short Int Pct of Float,0.015600000000000001
Days to Cover,1.28092
Float,299.1693
Shares Outstanding,301.135
Institutions Holding Shares,971.0
FCF Growth 5yr,0.08790696560746422
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,0.0382
Dividend Change %,0.0526
"Dividend Growth Rate, 3 Years",0.0217
EPS Growth (MRQ),
EPS Growth (TTM),
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),
Return On Assets (TTM),
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.2899
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),1.79
Interest Coverage (MRQ),
newConstructs,2
researchTeam,hold
marketEdge opinion,long
marketEdge,0
theStreet,hold
cfra,3
ford,3
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-02-27 00:00:00
cfra since,2019-05-22 00:00:00
ford since,2019-04-05 00:00:00
creditSuisse since,2020-04-15 00:00:00
