,NUE
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),1.21155
Price/Cash Flow (TTM),
5yr Low,27.53
5yr High,70.48
5yr Avg Return,0.0073333333333333375
EPS Growth 5yr,0.1436639
Revenue Growth 5yr,0.0136808
Dividend Growth 5yr,0.0157145
Short Int Current Month,4661214.0
Short Int Prev Month,4842982.0
Short Int Pct of Float,0.015600000000000001
Days to Cover,1.28092
Float,299.1693
Shares Outstanding,301.135
Institutions Holding Shares,971.0
% Held by Institutions,0.7851220000000001
FCF Growth 5yr,0.08790696560746422
