,HLT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",27.97,21.2,Valuation,1.3193396226415095
Price/Sales (TTM),2.18,8.37,Valuation,0.2604540023894863
Price/Book (MRQ),,4.01,Valuation,
"PEG Ratio (TTM, GAAP)",,18.88,Valuation,
Gross Profit Margin (TTM),0.3765,0.41659999999999997,Profitability,0.9037445991358618
Operating Profit Margin (TTM),0.15410000000000001,0.2093,Profitability,0.7362637362637363
Net Profit Margin (TTM),0.08130000000000001,0.125,Profitability,0.6504000000000001
Annual Dividend Yield,,0.016399999999999998,Dividend,
Dividend Change %,0.0,0.1189,Dividend,0.0
"Dividend Growth Rate, 3 Years",-0.1061,0.0888,Dividend,-1.1948198198198197
EPS Growth (MRQ),-0.8956999999999999,-0.6061,Gowth rates,1.4778089424187428
EPS Growth (TTM),-0.005200000000000001,0.011200000000000002,Gowth rates,-0.4642857142857143
Revenue Growth (MRQ),-0.1895,-0.0718,Gowth rates,2.639275766016713
Revenue Growth (TTM),0.0146,0.0302,Gowth rates,0.4834437086092715
Return On Equity (TTM),,0.1537,Effectiveness,
Return On Assets (TTM),0.048600000000000004,0.10130000000000002,Effectiveness,0.4797630799605133
Return On Investment (TTM),0.0582,0.1311,Effectiveness,0.4439359267734554
Revenue Per Employee (TTM),52994.0,156145.0,Effectiveness,0.33938966985814467
Total Debt/Total Capital (MRQ),1.1052,1.3178999999999998,Financial strength,0.8386068745731847
Change in Debt/Total Capital Quarter over Quarter,0.0003,0.0002,Financial strength,1.4999999999999998
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),2.12,6.91,Financial strength,0.3068017366136035
