,HLT
% Above Low,0.6296
% Held by Institutions,1.0131000000000001
52-Wk Range,['44.30 - 115.48']
Annual Dividend $,
Annual Dividend %,
Ask,73.16
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.3
Bid,72.2
Bid Size,400.0
Closing Price,72.19
Day Change $,0.29
Day Change %,0.004
Day High,74.03
Day Low,71.72
Dividend Pay Date,03/31/20
"EPS (TTM, GAAP)",2.57
Ex-dividend Date,02/27/20
Historical Volatility,0.43
Last (size),90.0
Last (time),6:30p ET 05/08/20
Market Cap,20.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",27.97
Prev Close,71.9
Short Interest,0.0463
Today's Open,72.78
Volume,8489639.0
Volume 10-day Avg,4197658.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-1.2219321148825064
Growth 1yr High Est,0.06060606060606055
Growth 1yr Consensus Est,-0.5806630271382229
Growth 2yr Low Est,-2.1168484103824294
Growth 2yr High Est,0.05173160173160163
Growth 2yr Consensus Est,-1.032558404325414
Growth 5yr Low Est,-0.8466353698068738
Growth 5yr High Est,0.2313431878004742
Growth 5yr Consensus Est,-0.3076460910031998
Growth 5yr Actual/Est,0.2726219472378215
Growth 3yr Historic,0.19821236559139782
Price/Earnings (TTM),27.96686
Price/Sales (TTM),2.17588
Price/Book (MRQ),
Price/Cash Flow (TTM),18.16802
5yr Low,44.3
5yr High,115.48
5yr Avg Return,0.013616666666666671
EPS Growth 5yr,0.0820904
Revenue Growth 5yr,-0.0208475
Dividend Growth 5yr,
Short Int Current Month,12630915.0
Short Int Prev Month,10863471.0
Short Int Pct of Float,0.046316300000000005
Days to Cover,2.01795
Float,273.2587
Shares Outstanding,277.4477
Institutions Holding Shares,797.0
FCF Growth 5yr,0.05420077680047641
"Price/Earnings (TTM, GAAP)",27.97
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3765
Operating Profit Margin (TTM),0.15410000000000001
Net Profit Margin (TTM),0.08130000000000001
Annual Dividend Yield,
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",-0.1061
EPS Growth (MRQ),-0.8956999999999999
EPS Growth (TTM),-0.005200000000000001
Revenue Growth (MRQ),-0.1895
Revenue Growth (TTM),0.0146
Return On Equity (TTM),
Return On Assets (TTM),0.048600000000000004
Return On Investment (TTM),0.0582
Revenue Per Employee (TTM),52994.0
Total Debt/Total Capital (MRQ),1.1052
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.12
theStreet,hold
newConstructs,3
researchTeam,hold
cfra,
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,
theStreet since,2019-06-04 00:00:00
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
cfra since,
ford since,2019-04-05 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
