,CAT
% Above Low,0.2813
% Held by Institutions,0.6738
52-Wk Range,['87.50 - 150.55']
Annual Dividend $,4.12
Annual Dividend %,0.0384
Ask,112.43
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,112.03
Bid Size,100.0
Change Since Close,0.07| |(0.06%)
Closing Price,112.11
Day Change $,4.82
Day Change %,0.0449
Day High,112.2
Day Low,108.3
Dividend Pay Date,2020-05-20 00:00:00
"EPS (TTM, GAAP)",9.43
Ex-dividend,2020-04-17 00:00:00
Ex-dividend Date,04/17/20
Historical Volatility,0.406
Last (size),300.0
Last (time),6:30p ET 05/08/20
Last Trade,112.18
Market Cap,60.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.38
Prev Close,107.29
Short Interest,0.0182
Today's Open,108.97
Volume,3913422.0
Volume 10-day Avg,4269232.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-31 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.8045112781954887
Growth 1yr High Est,-0.45545454545454545
Growth 1yr Consensus Est,-0.6299829118250171
Growth 2yr Low Est,-0.14023640832851364
Growth 2yr High Est,0.13370845348307786
Growth 2yr Consensus Est,-0.0032639774227178897
Growth 5yr Low Est,-0.11351449601170638
Growth 5yr High Est,0.06575209944800287
Growth 5yr Consensus Est,-0.023881198281851757
Growth 5yr Actual/Est,0.12201845188040475
Growth 3yr Historic,0.15413842598350122
Price/Earnings (TTM),11.38354
Price/Sales (TTM),1.13931
Price/Book (MRQ),4.09565
Price/Cash Flow (TTM),7.42673
5yr Low,56.36
5yr High,173.24
5yr Avg Return,0.09628333333333332
EPS Growth 5yr,0.2172643
Revenue Growth 5yr,-0.005067
Dividend Growth 5yr,0.0777144
Short Int Current Month,10219671.0
Short Int Prev Month,9059253.0
Short Int Pct of Float,0.0181977
Days to Cover,1.66468
Float,540.2311
Shares Outstanding,541.2393
Institutions Holding Shares,1995.0
FCF Growth 5yr,0.05547099361398618
"Price/Earnings (TTM, GAAP)",11.38
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.31760000000000005
Operating Profit Margin (TTM),0.1469
Net Profit Margin (TTM),0.1034
Annual Dividend Yield,0.0384
Dividend Change %,0.1524
"Dividend Growth Rate, 3 Years",0.0706
EPS Growth (MRQ),-0.0011
EPS Growth (TTM),-0.0818
Revenue Growth (MRQ),-0.19090000000000001
Revenue Growth (TTM),-0.0788
Return On Equity (TTM),0.35740000000000005
Return On Assets (TTM),0.06820000000000001
Return On Investment (TTM),0.10470000000000002
Revenue Per Employee (TTM),498231.0
Total Debt/Total Capital (MRQ),0.7226
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),0.97
Interest Coverage (MRQ),4.28
newConstructs,1
researchTeam,reduce
theStreet,buy
cfra,2
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,1
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-01-20 00:00:00
theStreet since,2018-04-25 00:00:00
cfra since,2020-02-01 00:00:00
ford since,2020-03-13 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2009-09-25 00:00:00
