,CNC
% Below High,0.11810000000000001
% Held by Institutions,0.7831
52-Wk Range,['41.62 - 74.70']
Annual Dividend $,
Annual Dividend %,
Ask,66.88
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,65.41
Bid Size,100.0
Closing Price,65.88
Day Change $,1.27
Day Change %,0.0197
Day High,66.17
Day Low,65.02
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.98
Ex-dividend Date,No dividend
Historical Volatility,0.527
Last (size),80.0
Last (time),6:30p ET 05/08/20
Market Cap,38.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",32.57
Prev Close,64.61
Short Interest,0.0182
Today's Open,65.57
Volume,1961963.0
Volume 10-day Avg,3861819.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,0.01839080459770126
Growth 1yr High Est,0.11135857461024501
Growth 1yr Consensus Est,0.06487468960397313
Growth 2yr Low Est,0.10738953322435851
Growth 2yr High Est,0.16589972818688603
Growth 2yr Consensus Est,0.13664463070562227
Growth 5yr Low Est,0.06619476661217918
Growth 5yr High Est,0.09350466618305525
Growth 5yr Consensus Est,0.07984971639761722
Growth 5yr Actual/Est,0.23706492454230127
Growth 3yr Historic,0.16333736884584338
Price/Earnings (TTM),32.57111
Price/Sales (TTM),0.45509
Price/Book (MRQ),1.5889
Price/Cash Flow (TTM),23.21188
5yr Low,23.68
5yr High,74.7
5yr Avg Return,0.15568333333333328
EPS Growth 5yr,0.230615
Revenue Growth 5yr,0.35139119999999996
Dividend Growth 5yr,
Short Int Current Month,10500231.0
Short Int Prev Month,9472549.0
Short Int Pct of Float,0.0182415
Days to Cover,2.3838
Float,568.1313
Shares Outstanding,579.1294
Institutions Holding Shares,985.0
FCF Growth 5yr,0.320580110315194
"Price/Earnings (TTM, GAAP)",32.57
"PEG Ratio (TTM, GAAP)",2.47
Gross Profit Margin (TTM),0.17120000000000002
Operating Profit Margin (TTM),0.0158
Net Profit Margin (TTM),0.0102
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.8316
EPS Growth (TTM),-0.2413
Revenue Growth (MRQ),0.3797
Revenue Growth (TTM),0.25780000000000003
Return On Equity (TTM),0.04820000000000001
Return On Assets (TTM),0.0167
Return On Investment (TTM),0.0257
Revenue Per Employee (TTM),1452650.0
Total Debt/Total Capital (MRQ),0.4217
Change in Debt/Total Capital Quarter over Quarter,0.0028000000000000004
Quick Ratio (MRQ),
Interest Coverage (MRQ),4.82
newConstructs,4
researchTeam,hold
theStreet,buy
cfra,5
ford,3
marketEdge opinion,long
marketEdge,-2
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-09 00:00:00
theStreet since,2020-04-09 00:00:00
cfra since,2018-10-18 00:00:00
ford since,2020-04-09 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2017-11-02 00:00:00
