,EL
% Above Low,0.2638
% Held by Institutions,0.8809999999999999
52-Wk Range,['137.01 - 220.42']
Annual Dividend $,
Annual Dividend %,
Ask,174.9
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,0.8
Bid,173.16
Bid Size,300.0
Closing Price,173.15
Day Change $,1.21
Day Change %,0.006999999999999999
Day High,176.0
Day Low,172.52
Dividend Pay Date,03/16/20
"EPS (TTM, GAAP)",3.54
Ex-dividend Date,02/27/20
Historical Volatility,0.40299999999999997
Last (size),1700.0
Last (time),6:30p ET 05/08/20
Market Cap,62.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",48.54
Prev Close,171.94
Short Interest,0.0152
Today's Open,175.18
Volume,1368176.0
Volume 10-day Avg,1755852.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-08-20 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,-0.2543352601156069
Growth 1yr High Est,-0.08598130841121499
Growth 1yr Consensus Est,-0.17015828426341095
Growth 2yr Low Est,-0.03672835357201537
Growth 2yr High Est,0.08379871184756232
Growth 2yr Consensus Est,0.023535179137773476
Growth 5yr Low Est,0.1070196912449192
Growth 5yr High Est,0.16366519815071848
Growth 5yr Consensus Est,0.13534244469781884
Growth 5yr Actual/Est,0.1269793668969591
Growth 3yr Historic,0.1209368230700908
Price/Earnings (TTM),48.54183
Price/Sales (TTM),4.00532
Price/Book (MRQ),14.29799
Price/Cash Flow (TTM),32.35659
5yr Low,73.67
5yr High,220.42
5yr Avg Return,0.16196666666666665
EPS Growth 5yr,0.0954799
Revenue Growth 5yr,0.0626462
Dividend Growth 5yr,
Short Int Current Month,3249732.0
Short Int Prev Month,5538747.0
Short Int Pct of Float,0.0152425
Days to Cover,1.6601
Float,213.3227
Shares Outstanding,359.9986
Institutions Holding Shares,1385.0
FCF Growth 5yr,0.0587839710151072
"Price/Earnings (TTM, GAAP)",48.54
"PEG Ratio (TTM, GAAP)",8.32
Gross Profit Margin (TTM),0.7658
Operating Profit Margin (TTM),0.0883
Net Profit Margin (TTM),0.085
Annual Dividend Yield,
Dividend Change %,0.12840000000000001
"Dividend Growth Rate, 3 Years",0.13570000000000002
EPS Growth (MRQ),-1.011
EPS Growth (TTM),-0.29059999999999997
Revenue Growth (MRQ),-0.2766
Revenue Growth (TTM),0.0608
Return On Equity (TTM),0.2923
Return On Assets (TTM),0.0839
Return On Investment (TTM),0.1231
Revenue Per Employee (TTM),321958.0
Total Debt/Total Capital (MRQ),0.5872999999999999
Change in Debt/Total Capital Quarter over Quarter,0.0028000000000000004
Quick Ratio (MRQ),1.26
Interest Coverage (MRQ),
newConstructs,3
researchTeam,reduce
cfra,2
theStreet,buy
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-02 00:00:00
cfra since,2020-03-07 00:00:00
theStreet since,2009-11-02 00:00:00
ford since,2019-12-13 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2018-05-03 00:00:00
