,EL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",48.54,-49.06,Valuation,-0.9894007337953525
Price/Sales (TTM),4.01,353.36,Valuation,0.011348200135838803
Price/Book (MRQ),14.3,12.83,Valuation,1.1145752143413874
"PEG Ratio (TTM, GAAP)",8.32,2.01,Valuation,4.139303482587065
Gross Profit Margin (TTM),0.7658,0.7440000000000001,Profitability,1.0293010752688172
Operating Profit Margin (TTM),0.0883,0.0683,Profitability,1.2928257686676428
Net Profit Margin (TTM),0.085,0.055700000000000006,Profitability,1.526032315978456
Annual Dividend Yield,,0.0064,Dividend,
Dividend Change %,0.12840000000000001,0.1,Dividend,1.284
"Dividend Growth Rate, 3 Years",0.13570000000000002,0.1151,Dividend,1.1789748045178108
EPS Growth (MRQ),-1.011,-0.705,Gowth rates,1.4340425531914893
EPS Growth (TTM),-0.29059999999999997,-0.2439,Gowth rates,1.191471914719147
Revenue Growth (MRQ),-0.2766,0.5114,Gowth rates,-0.5408682049276496
Revenue Growth (TTM),0.0608,1.3897,Gowth rates,0.04375044973735339
Return On Equity (TTM),0.2923,0.1625,Effectiveness,1.7987692307692307
Return On Assets (TTM),0.0839,0.5958,Effectiveness,0.14081906680093992
Return On Investment (TTM),0.1231,0.0853,Effectiveness,1.4431418522860493
Revenue Per Employee (TTM),321958.0,378732.0,Effectiveness,0.8500945259444673
Total Debt/Total Capital (MRQ),0.5872999999999999,0.5582,Financial strength,1.0521318523826584
Change in Debt/Total Capital Quarter over Quarter,0.0028000000000000004,0.0012,Financial strength,2.333333333333334
Quick Ratio (MRQ),1.26,1.18,Financial strength,1.0677966101694916
Interest Coverage (MRQ),,0.95,Financial strength,
